line_no,inout_type,seq,stop_name,x,y,get_date
13481,EMERGENCY,1,구명역 4번출구,128.9995728,35.20262146,2018.01.02 19:45:00
13481,LEFT,1,구명역 4번출구,129.0008545,35.20420074,2018.01.02 19:46:03
13481,ENTERED,2,덕천역,129.0053101,35.20875931,2018.01.02 19:47:15
13481,LEFT,2,덕천역,129.0065918,35.21026993,2018.01.02 19:48:36
13481,ENTERED,3,덕천사원A.숙등역4번출구,129.0125122,35.21192169,2018.01.02 19:49:48
13481,LEFT_LAST,3,덕천사원A.숙등역4번출구,129.0148163,35.21247864,2018.01.02 19:50:36
13481,EMERGENCY,1,구명역 4번출구,128.999588,35.20275116,2018.01.03 19:47:53
13481,LEFT,1,구명역 4번출구,129.0007019,35.20412064,2018.01.03 19:48:50
13481,ENTERED,2,덕천역,129.0053253,35.20882034,2018.01.03 19:49:44
13481,LEFT,2,덕천역,129.0064697,35.21035004,2018.01.03 19:50:59
13481,ENTERED,3,덕천사원A.숙등역4번출구,129.012619,35.21192932,2018.01.03 19:52:29
13481,LEFT_LAST,3,덕천사원A.숙등역4번출구,129.0146942,35.21250916,2018.01.03 19:53:29
13481,EMERGENCY,3,덕천사원A.숙등역4번출구,129.0141449,35.21245956,2018.01.03 19:55:05
13481,LEFT_LAST,3,덕천사원A.숙등역4번출구,129.0120087,35.21186066,2018.01.03 19:55:20
13481,EMERGENCY,2,덕천역,129.0062561,35.21031952,2018.01.03 19:55:56
13481,LEFT,2,덕천역,129.0043945,35.20986938,2018.01.03 19:56:08
13481,EMERGENCY,1,구명역 4번출구,128.9995728,35.20264053,2018.01.04 19:45:10
13481,LEFT,1,구명역 4번출구,129.000824,35.20418167,2018.01.04 19:46:10
13481,ENTERED,2,덕천역,129.0053406,35.20878983,2018.01.04 19:47:28
13481,LEFT,2,덕천역,129.006546,35.21022034,2018.01.04 19:48:46
13481,ENTERED,3,덕천사원A.숙등역4번출구,129.0125885,35.21192932,2018.01.04 19:50:10
13481,LEFT_LAST,3,덕천사원A.숙등역4번출구,129.0144958,35.21250916,2018.01.04 19:50:52
13481,EMERGENCY,1,구명역 4번출구,128.9994965,35.20265961,2018.01.05 19:44:56
13481,LEFT,1,구명역 4번출구,129.0007782,35.20415115,2018.01.05 19:45:53
13481,ENTERED,2,덕천역,129.0053253,35.20882034,2018.01.05 19:46:59
13481,LEFT,2,덕천역,129.0063782,35.21031189,2018.01.05 19:48:14
13481,ENTERED,3,덕천사원A.숙등역4번출구,129.0126038,35.21191025,2018.01.05 19:50:02
13481,LEFT_LAST,3,덕천사원A.숙등역4번출구,129.0146179,35.21242905,2018.01.05 19:50:53
13481,ENTER_BASE,0,[기점] 대한항공테크센터,128.9289551,35.18235016,2018.01.08 19:10:19
13481,LEFT_BASE,0,[기점] 대한항공테크센터,128.9290314,35.18180084,2018.01.08 19:10:25
13481,ENTERED,1,구명역 4번출구,128.9995422,35.20275116,2018.01.08 19:44:40
13481,LEFT,1,구명역 4번출구,129.0007477,35.20412064,2018.01.08 19:44:58
13481,ENTERED,2,덕천역,129.0053558,35.20891953,2018.01.08 19:46:40
13481,LEFT,2,덕천역,129.0062561,35.21033859,2018.01.08 19:47:55
13481,ENTERED,3,덕천사원A.숙등역4번출구,129.0125885,35.2118988,2018.01.08 19:49:43
13481,LEFT_LAST,3,덕천사원A.숙등역4번출구,129.0145874,35.21245956,2018.01.08 19:50:37
13481,EMERGENCY,3,덕천사원A.숙등역4번출구,129.0144653,35.21247101,2018.01.08 19:52:22
13481,LEFT_LAST,3,덕천사원A.숙등역4번출구,129.0121918,35.21187973,2018.01.08 19:52:40
13481,EMERGENCY,2,덕천역,129.0059509,35.21023941,2018.01.08 19:53:28
13481,LEFT,2,덕천역,129.0042419,35.20986176,2018.01.08 19:55:10
13481,EMERGENCY,1,구명역 4번출구,128.9996185,35.20277023,2018.01.09 19:45:33
13481,LEFT,1,구명역 4번출구,129.0007629,35.20412827,2018.01.09 19:45:51
13481,ENTERED,2,덕천역,129.0053558,35.20891953,2018.01.09 19:46:54
13481,LEFT,2,덕천역,129.0065765,35.21030045,2018.01.09 19:48:36
13481,ENTERED,3,덕천사원A.숙등역4번출구,129.0125275,35.21179962,2018.01.09 19:49:54
13481,LEFT_LAST,3,덕천사원A.숙등역4번출구,129.0146027,35.21237946,2018.01.09 19:50:51
13481,EMERGENCY,1,구명역 4번출구,128.9996033,35.20281982,2018.01.10 19:44:25
13481,LEFT,1,구명역 4번출구,129.0007172,35.20410919,2018.01.10 19:44:43
13481,ENTERED,2,덕천역,129.0053406,35.20883942,2018.01.10 19:46:40
13481,LEFT,2,덕천역,129.0062866,35.21033096,2018.01.10 19:47:46
13481,ENTERED,3,덕천사원A.숙등역4번출구,129.0125885,35.21186066,2018.01.10 19:49:37
13481,LEFT_LAST,3,덕천사원A.숙등역4번출구,129.0146332,35.21236038,2018.01.10 19:50:31
13481,EMERGENCY,3,덕천사원A.숙등역4번출구,129.0144958,35.21244812,2018.01.10 19:52:04
13481,LEFT_LAST,3,덕천사원A.숙등역4번출구,129.012085,35.2118187,2018.01.10 19:52:22
13481,EMERGENCY,2,덕천역,129.0060883,35.21031189,2018.01.10 19:53:04
13481,LEFT,2,덕천역,129.0042419,35.20983887,2018.01.10 19:53:16
13481,EMERGENCY,1,구명역 4번출구,128.9995728,35.20267868,2018.01.11 19:48:02
13481,LEFT,1,구명역 4번출구,129.000885,35.2041893,2018.01.11 19:48:44
13481,ENTERED,2,덕천역,129.0053558,35.20888138,2018.01.11 19:49:47
13481,LEFT,2,덕천역,129.0091095,35.21086884,2018.01.11 19:51:38
