get_date,lat,lng,speed,line_no,y,dist
2018-01-05 6:23,35.21175,129.01181,46,13395,0:19:57,0
2018-01-05 6:23,35.21161,129.0114,40,13395,0:19:54,0.040383081
2018-01-05 6:23,35.21153,129.01106,31,13395,0:19:51,0.072537375
2018-01-05 6:23,35.2115,129.01094,12,13395,0:19:48,0.083941837
2018-01-05 6:23,35.2115,129.01088,0,13395,0:19:45,0.089394518
2018-01-05 6:23,35.2115,129.01086,2,13395,0:19:42,0.091212078
2018-01-05 6:23,35.2115,129.0108,0,13395,0:19:39,0.09666476
2018-01-05 6:24,35.21149,129.01077,0,13395,0:19:36,0.09960927
2018-01-05 6:24,35.21149,129.01074,0,13395,0:19:33,0.102335611
2018-01-05 6:24,35.21149,129.01068,0,13395,0:19:30,0.107788293
2018-01-05 6:24,35.21149,129.01067,0,13395,0:19:27,0.108697073
2018-01-05 6:24,35.21148,129.01057,0,13395,0:19:24,0.117852693
2018-01-05 6:24,35.21146,129.0105,0,13395,0:19:21,0.124591911
2018-01-05 6:24,35.21146,129.01047,0,13395,0:19:18,0.127318253
2018-01-05 6:24,35.21146,129.01044,0,13395,0:19:15,0.130044595
2018-01-05 6:24,35.21145,129.01042,0,13395,0:19:12,0.132175495
2018-01-05 6:24,35.21145,129.01041,0,13395,0:19:09,0.133084276
2018-01-05 6:24,35.21145,129.01039,0,13395,0:19:06,0.134901837
2018-01-05 6:24,35.21145,129.01039,0,13395,0:19:03,0.134901837
2018-01-05 6:24,35.21145,129.01038,0,13395,0:19:00,0.135810618
2018-01-05 6:24,35.21144,129.01038,3,13395,0:18:57,0.136922917
2018-01-05 6:24,35.21144,129.01035,0,13395,0:18:54,0.139649259
2018-01-05 6:24,35.21143,129.01033,6,13395,0:18:51,0.14178016
2018-01-05 6:24,35.2114,129.01024,14,13395,0:18:48,0.150613699
2018-01-05 6:24,35.21135,129.01004,26,13395,0:18:45,0.169621165
2018-01-05 6:24,35.21127,129.00974,38,13395,0:18:42,0.198300044
2018-01-05 6:24,35.21117,129.00935,46,13395,0:18:39,0.235446983
2018-01-05 6:25,35.21105,129.0089,50,13395,0:18:36,0.278465397
2018-01-05 6:25,35.21094,129.00845,49,13395,0:18:33,0.321151845
2018-01-05 6:25,35.21085,129.00809,39,13395,0:18:30,0.35536547
2018-01-05 6:25,35.21076,129.00777,33,13395,0:18:27,0.386121459
2018-01-05 6:25,35.21072,129.0076,18,13395,0:18:24,0.402198758
2018-01-05 6:25,35.2107,129.00755,0,13395,0:18:21,0.407258034
2018-01-05 6:25,35.21068,129.00755,0,13395,0:18:18,0.40948263
2018-01-05 6:25,35.21066,129.00755,0,13395,0:18:15,0.411707227
2018-01-05 6:25,35.21064,129.00754,0,13395,0:18:12,0.414110293
2018-01-05 6:25,35.21065,129.00751,4,13395,0:18:09,0.41705483
2018-01-05 6:25,35.21063,129.00742,10,13395,0:18:06,0.42553107
2018-01-05 6:25,35.21054,129.0072,26,13395,0:18:03,0.44789062
2018-01-05 6:25,35.21044,129.00688,38,13395,0:18:00,0.479026522
2018-01-05 6:25,35.21032,129.00652,42,13395,0:17:57,0.514361063
2018-01-05 6:25,35.21024,129.00607,46,13395,0:17:54,0.556213679
2018-01-05 6:25,35.21016,129.00563,46,13395,0:17:51,0.597178774
2018-01-05 6:25,35.21005,129.0052,47,13395,0:17:48,0.638127637
2018-01-05 6:25,35.20995,129.00476,48,13395,0:17:45,0.679632893
2018-01-05 6:25,35.20984,129.0043,47,13395,0:17:42,0.723191318
2018-01-05 6:25,35.20976,129.00392,39,13395,0:17:39,0.75885368
2018-01-05 6:26,35.20969,129.00356,39,13395,0:17:36,0.792484207
2018-01-05 6:26,35.20964,129.00316,40,13395,0:17:33,0.829259201
2018-01-05 6:26,35.20961,129.00278,37,13395,0:17:30,0.863954486
2018-01-05 6:26,35.20957,129.0024,39,13395,0:17:27,0.898774369
2018-01-05 6:26,35.20956,129.00198,45,13395,0:17:24,0.93696025
2018-01-05 6:26,35.20954,129.00151,47,13395,0:17:21,0.979731836
2018-01-05 6:26,35.20951,129.00105,49,13395,0:17:18,1.021669708
2018-01-05 6:26,35.20947,129.00064,39,13395,0:17:15,1.059195309
