get_date,lat,lng,speed,line_no,y,dist
2018-01-04 6:24,35.21171,129.01183,35,13395,0:20:39,0
2018-01-04 6:24,35.2116,129.01144,33,13395,0:20:36,0.03749484
2018-01-04 6:24,35.21154,129.01114,26,13395,0:20:33,0.065563176
2018-01-04 6:24,35.21147,129.01096,19,13395,0:20:30,0.083679708
2018-01-04 6:24,35.21148,129.0108,12,13395,0:20:27,0.098262677
2018-01-04 6:24,35.21146,129.01067,0,13395,0:20:24,0.110284445
2018-01-04 6:24,35.21144,129.01053,0,13395,0:20:21,0.123200396
2018-01-04 6:24,35.21145,129.01045,0,13395,0:20:18,0.130555237
2018-01-04 6:24,35.21146,129.01042,0,13395,0:20:15,0.133499749
2018-01-04 6:24,35.21146,129.01041,0,13395,0:20:12,0.13440853
2018-01-04 6:24,35.21146,129.01039,0,13395,0:20:09,0.136226091
2018-01-04 6:24,35.21147,129.01038,0,13395,0:20:06,0.137662437
2018-01-04 6:24,35.21147,129.01038,0,13395,0:20:03,0.137662437
2018-01-04 6:24,35.21146,129.01038,0,13395,0:20:00,0.138774735
2018-01-04 6:24,35.21146,129.01035,7,13395,0:19:57,0.141501077
2018-01-04 6:24,35.21143,129.01024,17,13395,0:19:54,0.152039894
2018-01-04 6:24,35.21133,129.01006,24,13395,0:19:51,0.171821379
2018-01-04 6:24,35.21127,129.00978,34,13395,0:19:48,0.198127912
2018-01-04 6:24,35.21114,129.00943,40,13395,0:19:45,0.233067864
2018-01-04 6:25,35.21106,129.00903,43,13395,0:19:42,0.270492517
2018-01-04 6:25,35.21095,129.00864,42,13395,0:19:39,0.307987625
2018-01-04 6:25,35.21088,129.0083,34,13395,0:19:36,0.339852274
2018-01-04 6:25,35.21079,129.00803,30,13395,0:19:33,0.366353052
2018-01-04 6:25,35.21072,129.00783,22,13395,0:19:30,0.386126312
2018-01-04 6:25,35.2107,129.00772,11,13395,0:19:27,0.396367525
2018-01-04 6:25,35.21071,129.00774,0,13395,0:19:24,0.39849844
2018-01-04 6:25,35.21073,129.00771,0,13395,0:19:21,0.402017233
2018-01-04 6:25,35.21072,129.00769,0,13395,0:19:18,0.404148147
2018-01-04 6:25,35.21072,129.00769,1,13395,0:19:15,0.404148147
2018-01-04 6:25,35.21069,129.00764,7,13395,0:19:12,0.409785728
2018-01-04 6:25,35.2107,129.00758,9,13395,0:19:09,0.415350755
2018-01-04 6:25,35.2106,129.00732,28,13395,0:19:06,0.441466427
2018-01-04 6:25,35.21048,129.00703,32,13395,0:19:03,0.47100861
2018-01-04 6:25,35.21038,129.0067,37,13395,0:19:00,0.502995004
2018-01-04 6:25,35.2103,129.00633,39,13395,0:18:57,0.537777834
2018-01-04 6:25,35.21022,129.00597,36,13395,0:18:54,0.571682942
2018-01-04 6:25,35.21016,129.00562,36,13395,0:18:51,0.604183356
2018-01-04 6:25,35.21006,129.00533,32,13395,0:18:48,0.632789489
2018-01-04 6:25,35.20998,129.00505,29,13395,0:18:45,0.659746787
2018-01-04 6:26,35.20993,129.0047,31,13395,0:18:42,0.692037242
2018-01-04 6:26,35.20986,129.00447,22,13395,0:18:39,0.714342662
2018-01-04 6:26,35.2098,129.00424,22,13395,0:18:36,0.736284602
2018-01-04 6:26,35.20978,129.004,20,13395,0:18:33,0.758208939
2018-01-04 6:26,35.20974,129.0038,22,13395,0:18:30,0.776921557
2018-01-04 6:26,35.20971,129.00356,26,13395,0:18:27,0.798986538
2018-01-04 6:26,35.20967,129.0033,25,13395,0:18:24,0.823030583
2018-01-04 6:26,35.20962,129.00299,29,13395,0:18:21,0.851747103
2018-01-04 6:26,35.20959,129.00264,33,13395,0:18:18,0.883729705
2018-01-04 6:26,35.20949,129.00072,3,13395,0:17:54,1.058573878
2018-01-04 6:26,35.20949,129.0006,0,13395,0:17:51,1.06947951
2018-01-04 6:26,35.20948,129.00058,0,13395,0:17:48,1.071610448
2018-01-04 6:26,35.20948,129.00058,0,13395,0:17:45,1.071610448
2018-01-04 6:27,35.20948,129.00058,0,13395,0:17:42,1.071610448
2018-01-04 6:27,35.20949,129.00058,0,13395,0:17:39,1.072722746
2018-01-04 6:27,35.20949,129.00058,0,13395,0:17:36,1.072722746
2018-01-04 6:27,35.20949,129.00058,0,13395,0:17:33,1.072722746
2018-01-04 6:27,35.2095,129.00058,0,13395,0:17:30,1.073835045
2018-01-04 6:27,35.2095,129.00058,0,13395,0:17:27,1.073835045
2018-01-04 6:27,35.2095,129.00058,1,13395,0:17:24,1.073835045
2018-01-04 6:27,35.20949,129.00052,11,13395,0:17:21,1.079400151
2018-01-04 6:27,35.20947,129.00037,16,13395,0:17:18,1.093212515
2018-01-04 6:27,35.20943,129.00017,26,13395,0:17:15,1.1119252
2018-01-04 6:27,35.20934,128.99988,34,13395,0:17:12,1.140117687
2018-01-04 6:27,35.20921,128.99957,35,13395,0:17:09,1.171784762
2018-01-04 6:27,35.20905,128.9993,36,13395,0:17:06,1.202096936
2018-01-04 6:27,35.20886,128.99905,37,13395,0:17:03,1.233126602
2018-01-04 6:27,35.20862,128.99879,41,13395,0:17:00,1.268777204
2018-01-04 6:27,35.20836,128.99852,45,13395,0:16:57,1.306704299
2018-01-04 6:27,35.20807,128.99823,49,13395,0:16:54,1.348359
2018-01-04 6:27,35.20776,128.99794,52,13395,0:16:51,1.391759277
2018-01-04 6:27,35.20747,128.99763,45,13395,0:16:48,1.434587301
2018-01-04 6:27,35.20724,128.99742,36,13395,0:16:45,1.466504909
2018-01-04 6:28,35.20701,128.99719,38,13395,0:16:42,1.499541574
2018-01-04 6:28,35.20596,128.99617,47,13395,0:16:30,1.648651418
2018-01-04 6:28,35.20576,128.9958,49,13395,0:16:27,1.688971039
2018-01-04 6:28,35.20548,128.99547,49,13395,0:16:24,1.732208591
2018-01-04 6:28,35.2052,128.99516,47,13395,0:16:21,1.774205772
2018-01-04 6:28,35.20493,128.99486,45,13395,0:16:18,1.814768507
2018-01-04 6:28,35.20468,128.99458,41,13395,0:16:15,1.852462705
2018-01-04 6:28,35.20448,128.99435,30,13395,0:16:12,1.882988904
2018-01-04 6:28,35.20437,128.99413,27,13395,0:16:09,1.906430286
2018-01-04 6:28,35.20435,128.99387,30,13395,0:16:06,1.930165131
2018-01-04 6:28,35.20442,128.99355,33,13395,0:16:03,1.960272838
2018-01-04 6:28,35.20456,128.99326,38,13395,0:16:00,1.990886216
2018-01-04 6:28,35.20476,128.99295,45,13395,0:15:57,2.026784529
2018-01-04 6:28,35.20499,128.99258,51,13395,0:15:54,2.069037328
2018-01-04 6:28,35.20527,128.99217,59,13395,0:15:51,2.11760167
2018-01-04 6:28,35.20559,128.9917,67,13395,0:15:48,2.173203338
2018-01-04 6:28,35.20593,128.9912,70,13395,0:15:45,2.232323618
2018-01-04 6:29,35.20628,128.99066,73,13395,0:15:42,2.294966811
2018-01-04 6:29,35.20664,128.99011,75,13395,0:15:39,2.359013845
2018-01-04 6:29,35.20701,128.98955,78,13395,0:15:36,2.424466115
2018-01-04 6:29,35.20738,128.989,75,13395,0:15:33,2.489214038
2018-01-04 6:29,35.20773,128.98846,69,13395,0:15:30,2.551856545
2018-01-04 6:29,35.20807,128.98796,69,13395,0:15:27,2.610975904
2018-01-04 6:29,35.2084,128.98747,68,13395,0:15:24,2.668685695
2018-01-04 6:29,35.20871,128.987,62,13395,0:15:21,2.723580694
2018-01-04 6:29,35.20901,128.98654,61,13395,0:15:18,2.777070559
2018-01-04 6:29,35.20931,128.9861,61,13395,0:15:15,2.829152086
2018-01-04 6:29,35.20963,128.98564,65,13395,0:15:12,2.884057032
2018-01-04 6:29,35.20995,128.98515,66,13395,0:15:09,2.94106515
2018-01-04 6:29,35.21026,128.98465,65,13395,0:15:06,2.998106635
2018-01-04 6:29,35.21052,128.98413,64,13395,0:15:03,3.053510577
2018-01-04 6:29,35.21072,128.98357,65,13395,0:15:00,3.109052484
2018-01-04 6:29,35.21085,128.98302,56,13395,0:14:57,3.161085392
2018-01-04 6:29,35.21092,128.98251,53,13395,0:14:54,3.208082981
2018-01-04 6:29,35.21098,128.98199,57,13395,0:14:51,3.255808793
2018-01-04 6:29,35.21104,128.98148,53,13395,0:14:48,3.302634887
2018-01-04 6:29,35.21109,128.98099,52,13395,0:14:45,3.347511304
2018-01-04 6:30,35.21114,128.98053,43,13395,0:14:42,3.389683711
2018-01-04 6:30,35.21118,128.98013,40,13395,0:14:39,3.426306337
2018-01-04 6:30,35.21122,128.97975,41,13395,0:14:36,3.46112554
2018-01-04 6:30,35.21125,128.97935,43,13395,0:14:33,3.497629702
2018-01-04 6:30,35.21129,128.97894,46,13395,0:14:30,3.535154492
2018-01-04 6:30,35.21133,128.9785,46,13395,0:14:27,3.575387679
2018-01-04 6:30,35.21137,128.97806,47,13395,0:14:24,3.615620846
2018-01-04 6:30,35.21141,128.97762,46,13395,0:14:21,3.655853993
2018-01-04 6:30,35.21146,128.97719,45,13395,0:14:18,3.695325343
2018-01-04 6:30,35.21151,128.97678,44,13395,0:14:15,3.73299811
2018-01-04 6:30,35.21155,128.97638,38,13395,0:14:12,3.769620572
2018-01-04 6:30,35.21158,128.97607,29,13395,0:14:09,3.797989669
2018-01-04 6:30,35.2116,128.97586,18,13395,0:14:06,3.817203251
2018-01-04 6:30,35.21162,128.97568,18,13395,0:14:03,3.833711846
2018-01-04 6:30,35.21163,128.97556,9,13395,0:14:00,3.844673769
2018-01-04 6:30,35.21163,128.97549,6,13395,0:13:57,3.85103522
2018-01-04 6:30,35.21163,128.97545,3,13395,0:13:54,3.854670335
2018-01-04 6:30,35.21163,128.9754,3,13395,0:13:51,3.859214229
2018-01-04 6:30,35.21163,128.97537,0,13395,0:13:48,3.861940565
