get_date,lat,lng,speed,line_no,y
2018-12-07 06:24:17,35.21165,129.01082,12,13395,0:25:27
2018-12-07 06:24:20,35.2117,129.01074,7,13395,0:25:24
2018-12-07 06:24:23,35.21177,129.01068,12,13395,0:25:21
2018-12-07 06:24:26,35.21187,129.01065,18,13395,0:25:18
2018-12-07 06:24:29,35.21204,129.01059,25,13395,0:25:15
2018-12-07 06:24:32,35.21223,129.01051,23,13395,0:25:12
2018-12-07 06:24:35,35.21234,129.01045,11,13395,0:25:09
2018-12-07 06:24:38,35.21239,129.01042,3,13395,0:25:06
2018-12-07 06:24:41,35.21241,129.01042,0,13395,0:25:03
2018-12-07 06:24:44,35.21242,129.01042,0,13395,0:25:00
2018-12-07 06:24:47,35.21244,129.01044,0,13395,0:24:57
2018-12-07 06:24:50,35.21245,129.01044,0,13395,0:24:54
2018-12-07 06:24:53,35.21245,129.01044,0,13395,0:24:51
2018-12-07 06:24:56,35.21245,129.01042,0,13395,0:24:48
2018-12-07 06:24:59,35.21245,129.01042,0,13395,0:24:45
2018-12-07 06:25:02,35.21245,129.01042,0,13395,0:24:42
2018-12-07 06:25:05,35.21245,129.01042,0,13395,0:24:39
2018-12-07 06:25:08,35.21246,129.01042,0,13395,0:24:36
2018-12-07 06:25:11,35.21245,129.01042,0,13395,0:24:33
2018-12-07 06:25:14,35.21245,129.01041,0,13395,0:24:30
2018-12-07 06:25:17,35.21244,129.01039,1,13395,0:24:27
2018-12-07 06:25:20,35.21252,129.01036,14,13395,0:24:24
2018-12-07 06:25:23,35.21265,129.01031,20,13395,0:24:21
2018-12-07 06:25:26,35.21284,129.01022,29,13395,0:24:18
2018-12-07 06:25:29,35.21309,129.01013,34,13395,0:24:15
2018-12-07 06:25:35,35.21367,129.00992,40,13395,0:24:09
2018-12-07 06:25:38,35.214,129.00981,45,13395,0:24:06
2018-12-07 06:25:41,35.21432,129.00969,43,13395,0:24:03
2018-12-07 06:25:44,35.21467,129.00961,45,13395,0:24:00
2018-12-07 06:25:47,35.215,129.00952,44,13395,0:23:57
2018-12-07 06:25:50,35.21528,129.00941,37,13395,0:23:54
2018-12-07 06:25:53,35.21553,129.00931,35,13395,0:23:51
2018-12-07 06:25:56,35.21584,129.00922,39,13395,0:23:48
2018-12-07 06:25:59,35.21616,129.00912,42,13395,0:23:45
2018-12-07 06:26:02,35.21646,129.00903,38,13395,0:23:42
2018-12-07 06:26:05,35.21674,129.00899,35,13395,0:23:39
2018-12-07 06:26:08,35.217,129.009,31,13395,0:23:36
2018-12-07 06:26:11,35.21719,129.00903,19,13395,0:23:33
2018-12-07 06:26:14,35.21727,129.00905,5,13395,0:23:30
2018-12-07 06:26:17,35.21728,129.00905,0,13395,0:23:27
2018-12-07 06:26:20,35.21728,129.00905,0,13395,0:23:24
2018-12-07 06:26:23,35.21728,129.00906,0,13395,0:23:21
2018-12-07 06:26:26,35.21728,129.00906,0,13395,0:23:18
2018-12-07 06:26:29,35.21727,129.00906,0,13395,0:23:15
2018-12-07 06:26:32,35.21727,129.00906,0,13395,0:23:12
2018-12-07 06:26:35,35.21727,129.00908,0,13395,0:23:09
2018-12-07 06:26:38,35.21726,129.00908,0,13395,0:23:06
2018-12-07 06:26:41,35.21725,129.00908,0,13395,0:23:03
2018-12-07 06:26:44,35.21727,129.00908,6,13395,0:23:00
2018-12-07 06:26:47,35.21735,129.00908,14,13395,0:22:57
2018-12-07 06:26:50,35.21749,129.00911,21,13395,0:22:54
2018-12-07 06:26:53,35.21771,129.00912,29,13395,0:22:51
2018-12-07 06:26:56,35.21798,129.00912,38,13395,0:22:48
2018-12-07 06:26:59,35.21831,129.00906,43,13395,0:22:45
2018-12-07 06:27:02,35.21867,129.00896,46,13395,0:22:42
2018-12-07 06:27:05,35.21902,129.00883,46,13395,0:22:39
2018-12-07 06:27:08,35.21935,129.00873,42,13395,0:22:36
2018-12-07 06:27:11,35.21967,129.00864,43,13395,0:22:33
2018-12-07 06:27:14,35.21995,129.00856,33,13395,0:22:30
2018-12-07 06:27:17,35.22018,129.00851,28,13395,0:22:27
2018-12-07 06:27:20,35.22039,129.00848,26,13395,0:22:24
2018-12-07 06:27:23,35.22049,129.00842,9,13395,0:22:21
2018-12-07 06:27:26,35.2205,129.00838,2,13395,0:22:18
2018-12-07 06:27:29,35.22051,129.00833,0,13395,0:22:15
2018-12-07 06:27:32,35.22054,129.00835,0,13395,0:22:12
2018-12-07 06:27:35,35.22056,129.00835,0,13395,0:22:09
2018-12-07 06:27:38,35.22057,129.00833,0,13395,0:22:06
2018-12-07 06:27:41,35.22058,129.00833,1,13395,0:22:03
2018-12-07 06:27:44,35.22061,129.00826,11,13395,0:22:00
2018-12-07 06:27:47,35.22062,129.0081,14,13395,0:21:57
2018-12-07 06:27:50,35.22056,129.00795,17,13395,0:21:54
2018-12-07 06:27:53,35.22042,129.00777,26,13395,0:21:51
2018-12-07 06:27:56,35.22024,129.00755,29,13395,0:21:48
2018-12-07 06:27:59,35.2201,129.0074,24,13395,0:21:45
2018-12-07 06:28:02,35.22004,129.00731,10,13395,0:21:42
2018-12-07 06:28:05,35.22002,129.00729,1,13395,0:21:39
2018-12-07 06:28:08,35.22,129.00729,0,13395,0:21:36
2018-12-07 06:28:11,35.22,129.00729,0,13395,0:21:33
2018-12-07 06:28:14,35.21999,129.00729,0,13395,0:21:30
2018-12-07 06:28:17,35.21998,129.00729,0,13395,0:21:27
2018-12-07 06:28:20,35.21997,129.00729,0,13395,0:21:24
2018-12-07 06:28:23,35.21997,129.00728,0,13395,0:21:21
2018-12-07 06:28:26,35.21997,129.00728,0,13395,0:21:18
2018-12-07 06:28:29,35.21996,129.00728,0,13395,0:21:15
2018-12-07 06:28:32,35.21996,129.00729,0,13395,0:21:12
2018-12-07 06:28:35,35.21996,129.00729,0,13395,0:21:09
2018-12-07 06:28:38,35.21995,129.00729,0,13395,0:21:06
2018-12-07 06:28:41,35.21993,129.00728,4,13395,0:21:03
2018-12-07 06:28:44,35.21988,129.00723,10,13395,0:21:00
2018-12-07 06:28:47,35.21978,129.00713,16,13395,0:20:57
2018-12-07 06:28:50,35.21963,129.00697,28,13395,0:20:54
2018-12-07 06:28:53,35.21944,129.00679,32,13395,0:20:51
2018-12-07 06:28:56,35.21921,129.00655,42,13395,0:20:48
2018-12-07 06:28:59,35.21891,129.00624,51,13395,0:20:45
2018-12-07 06:29:02,35.21859,129.00592,54,13395,0:20:42
2018-12-07 06:29:05,35.21828,129.0056,50,13395,0:20:39
2018-12-07 06:29:08,35.21799,129.00537,42,13395,0:20:36
2018-12-07 06:29:11,35.21769,129.00523,40,13395,0:20:33
2018-12-07 06:29:14,35.21741,129.00513,37,13395,0:20:30
2018-12-07 06:29:17,35.21716,129.00505,30,13395,0:20:27
2018-12-07 06:29:20,35.21694,129.00497,27,13395,0:20:24
2018-12-07 06:29:23,35.21675,129.00493,25,13395,0:20:21
2018-12-07 06:29:26,35.21655,129.00487,26,13395,0:20:18
2018-12-07 06:29:29,35.21634,129.00484,28,13395,0:20:15
2018-12-07 06:29:32,35.21615,129.00479,22,13395,0:20:12
2018-12-07 06:29:35,35.21603,129.00476,10,13395,0:20:09
2018-12-07 06:29:38,35.216,129.00476,0,13395,0:20:06
2018-12-07 06:29:41,35.21595,129.00473,11,13395,0:20:03
2018-12-07 06:29:44,35.21576,129.00468,28,13395,0:20:00
2018-12-07 06:29:47,35.21551,129.00461,34,13395,0:19:57
2018-12-07 06:29:50,35.21519,129.00455,42,13395,0:19:54
2018-12-07 06:29:53,35.21481,129.00446,50,13395,0:19:51
2018-12-07 06:29:56,35.2144,129.00433,55,13395,0:19:48
2018-12-07 06:29:59,35.21397,129.00421,56,13395,0:19:45
2018-12-07 06:30:02,35.21353,129.0041,57,13395,0:19:42
2018-12-07 06:30:05,35.21311,129.00412,55,13395,0:19:39
2018-12-07 06:30:08,35.21271,129.00426,54,13395,0:19:36
2018-12-07 06:30:11,35.21232,129.00441,48,13395,0:19:33
2018-12-07 06:30:14,35.21204,129.00452,37,13395,0:19:30
2018-12-07 06:30:17,35.21181,129.00461,32,13395,0:19:27
2018-12-07 06:30:20,35.2116,129.00468,26,13395,0:19:24
2018-12-07 06:30:23,35.21146,129.00473,15,13395,0:19:21
2018-12-07 06:30:26,35.21139,129.00475,5,13395,0:19:18
2018-12-07 06:30:29,35.21136,129.00478,0,13395,0:19:15
2018-12-07 06:30:32,35.21133,129.00479,0,13395,0:19:12
2018-12-07 06:30:35,35.21133,129.00479,0,13395,0:19:09
2018-12-07 06:30:38,35.21132,129.00479,0,13395,0:19:06
2018-12-07 06:30:41,35.21132,129.00479,0,13395,0:19:03
2018-12-07 06:30:44,35.21132,129.00479,0,13395,0:19:00
2018-12-07 06:30:47,35.21133,129.00479,0,13395,0:18:57
2018-12-07 06:30:50,35.21132,129.00481,0,13395,0:18:54
2018-12-07 06:30:53,35.21132,129.00481,0,13395,0:18:51
2018-12-07 06:30:56,35.21131,129.00482,1,13395,0:18:48
2018-12-07 06:30:59,35.2113,129.00482,1,13395,0:18:45
2018-12-07 06:31:02,35.21127,129.00485,7,13395,0:18:42
2018-12-07 06:31:05,35.21119,129.00488,11,13395,0:18:39
2018-12-07 06:31:08,35.21109,129.00494,14,13395,0:18:36
2018-12-07 06:31:11,35.21096,129.00504,20,13395,0:18:33
2018-12-07 06:31:14,35.21075,129.0051,26,13395,0:18:30
2018-12-07 06:31:17,35.21054,129.00514,24,13395,0:18:27
2018-12-07 06:31:20,35.21039,129.00514,13,13395,0:18:24
2018-12-07 06:31:23,35.2103,129.00508,10,13395,0:18:21
2018-12-07 06:31:26,35.21021,129.00499,11,13395,0:18:18
2018-12-07 06:31:29,35.21017,129.00487,16,13395,0:18:15
2018-12-07 06:31:32,35.21006,129.0049,8,13395,0:18:12
2018-12-07 06:31:35,35.21,129.00487,6,13395,0:18:09
2018-12-07 06:31:38,35.20993,129.0047,13,13395,0:18:06
2018-12-07 06:31:41,35.20984,129.00443,20,13395,0:18:03
2018-12-07 06:31:44,35.20982,129.004,18,13395,0:18:00
2018-12-07 06:31:47,35.2098,129.00378,12,13395,0:17:57
2018-12-07 06:31:50,35.20977,129.00369,3,13395,0:17:54
2018-12-07 06:31:53,35.20975,129.00362,3,13395,0:17:51
2018-12-07 06:31:56,35.20976,129.00357,0,13395,0:17:48
2018-12-07 06:31:59,35.20977,129.00354,0,13395,0:17:45
2018-12-07 06:32:02,35.20977,129.00351,0,13395,0:17:42
2018-12-07 06:32:05,35.20977,129.00343,8,13395,0:17:39
2018-12-07 06:32:08,35.20975,129.00328,15,13395,0:17:36
2018-12-07 06:32:11,35.20971,129.00308,23,13395,0:17:33
2018-12-07 06:32:14,35.20967,129.00282,27,13395,0:17:30
2018-12-07 06:32:17,35.20966,129.00255,29,13395,0:17:27
2018-12-07 06:32:20,35.20963,129.00223,32,13395,0:17:24
2018-12-07 06:32:23,35.20961,129.00186,37,13395,0:17:21
2018-12-07 06:32:26,35.20959,129.0015,37,13395,0:17:18
2018-12-07 06:32:29,35.20958,129.00113,37,13395,0:17:15
2018-12-07 06:32:32,35.20955,129.00076,37,13395,0:17:12
2018-12-07 06:32:35,35.2095,129.0004,37,13395,0:17:09
2018-12-07 06:32:38,35.20942,129.00002,42,13395,0:17:06
2018-12-07 06:32:41,35.20925,128.9996,48,13395,0:17:03
2018-12-07 06:32:44,35.20903,128.99921,50,13395,0:17:00
2018-12-07 06:32:47,35.20877,128.99886,50,13395,0:16:57
2018-12-07 06:32:50,35.20847,128.99855,48,13395,0:16:54
2018-12-07 06:32:53,35.20819,128.99829,43,13395,0:16:51
2018-12-07 06:32:56,35.20794,128.99805,42,13395,0:16:48
2018-12-07 06:32:59,35.20768,128.9978,41,13395,0:16:45
2018-12-07 06:33:02,35.20743,128.99757,39,13395,0:16:42
