get_date,lat,lng,speed,line_no,y
2018-09-07 06:21:57,35.21176,129.01161,48,13395,0:17:33
2018-09-07 06:22:00,35.21165,129.01117,48,13395,0:17:30
2018-09-07 06:22:03,35.21154,129.01076,45,13395,0:17:27
2018-09-07 06:22:06,35.21144,129.01036,44,13395,0:17:24
2018-09-07 06:22:09,35.21133,129.00995,45,13395,0:17:21
2018-09-07 06:22:12,35.21122,129.00955,44,13395,0:17:18
2018-09-07 06:22:15,35.21112,129.00917,41,13395,0:17:15
2018-09-07 06:22:18,35.21105,129.00885,32,13395,0:17:12
2018-09-07 06:22:21,35.21099,129.00856,34,13395,0:17:09
2018-09-07 06:22:24,35.2109,129.00824,36,13395,0:17:06
2018-09-07 06:22:27,35.21081,129.0079,36,13395,0:17:03
2018-09-07 06:22:30,35.21072,129.00757,39,13395,0:17:00
2018-09-07 06:22:33,35.21063,129.00719,42,13395,0:16:57
2018-09-07 06:22:36,35.21051,129.00681,43,13395,0:16:54
2018-09-07 06:22:39,35.21042,129.00641,44,13395,0:16:51
2018-09-07 06:22:42,35.21034,129.00601,42,13395,0:16:48
2018-09-07 06:22:45,35.21026,129.00562,44,13395,0:16:45
2018-09-07 06:22:48,35.21018,129.00523,39,13395,0:16:42
2018-09-07 06:22:51,35.2101,129.00493,32,13395,0:16:39
2018-09-07 06:22:54,35.21002,129.00465,29,13395,0:16:36
2018-09-07 06:22:57,35.20994,129.00438,30,13395,0:16:33
2018-09-07 06:23:00,35.20983,129.00415,24,13395,0:16:30
2018-09-07 06:23:03,35.20977,129.00397,23,13395,0:16:27
2018-09-07 06:23:06,35.20973,129.00371,25,13395,0:16:24
2018-09-07 06:23:09,35.2097,129.00343,30,13395,0:16:21
2018-09-07 06:23:12,35.20967,129.00319,24,13395,0:16:18
2018-09-07 06:23:15,35.20964,129.00299,18,13395,0:16:15
2018-09-07 06:23:18,35.20964,129.0029,4,13395,0:16:12
2018-09-07 06:23:21,35.20965,129.00288,0,13395,0:16:09
2018-09-07 06:23:24,35.20966,129.0029,0,13395,0:16:06
2018-09-07 06:23:27,35.20966,129.0029,0,13395,0:16:03
