get_date,lat,lng,speed,line_no,y
2018-09-04 06:25:02,35.21182,129.01195,31,13395,0:20:27
2018-09-04 06:25:05,35.21175,129.01169,27,13395,0:20:24
2018-09-04 06:25:08,35.2117,129.01151,16,13395,0:20:21
2018-09-04 06:25:11,35.21168,129.01141,7,13395,0:20:18
2018-09-04 06:25:14,35.21167,129.0114,0,13395,0:20:15
2018-09-04 06:25:17,35.21167,129.0114,0,13395,0:20:12
2018-09-04 06:25:20,35.21167,129.0114,0,13395,0:20:09
2018-09-04 06:25:23,35.21167,129.0114,0,13395,0:20:06
2018-09-04 06:25:26,35.21167,129.01138,0,13395,0:20:03
2018-09-04 06:25:29,35.21167,129.01138,0,13395,0:20:00
2018-09-04 06:25:32,35.21167,129.01135,6,13395,0:19:57
2018-09-04 06:25:35,35.21165,129.01125,14,13395,0:19:54
2018-09-04 06:25:38,35.21162,129.01108,21,13395,0:19:51
2018-09-04 06:25:41,35.21156,129.01083,29,13395,0:19:48
2018-09-04 06:25:44,35.21149,129.01054,35,13395,0:19:45
2018-09-04 06:25:47,35.2114,129.01019,38,13395,0:19:42
2018-09-04 06:25:50,35.2113,129.00984,37,13395,0:19:39
2018-09-04 06:25:53,35.2112,129.00954,34,13395,0:19:36
2018-09-04 06:25:56,35.21112,129.00926,28,13395,0:19:33
2018-09-04 06:25:59,35.21106,129.00903,25,13395,0:19:30
2018-09-04 06:26:02,35.211,129.00882,25,13395,0:19:27
2018-09-04 06:26:05,35.21094,129.00859,25,13395,0:19:24
2018-09-04 06:26:08,35.21089,129.00835,27,13395,0:19:21
2018-09-04 06:26:11,35.21083,129.00807,31,13395,0:19:18
2018-09-04 06:26:14,35.21076,129.00777,35,13395,0:19:15
2018-09-04 06:26:17,35.21068,129.00743,40,13395,0:19:12
2018-09-04 06:26:20,35.21056,129.00703,44,13395,0:19:09
2018-09-04 06:26:23,35.21046,129.00664,45,13395,0:19:06
2018-09-04 06:26:26,35.21036,129.00621,48,13395,0:19:03
2018-09-04 06:26:29,35.21025,129.00577,49,13395,0:19:00
