get_date,lat,lng,speed,line_no,time
2018-08-01 06:23:38,35.21184,129.01219,39,13395,0:20:42
2018-08-01 06:23:41,35.21175,129.01176,49,13395,0:20:39
2018-08-01 06:23:44,35.21165,129.01138,44,13395,0:20:36
2018-08-01 06:23:47,35.2116,129.01102,36,13395,0:20:33
2018-08-01 06:23:50,35.2115,129.01067,33,13395,0:20:30
2018-08-01 06:23:53,35.21141,129.01038,31,13395,0:20:27
2018-08-01 06:23:56,35.21131,129.01003,35,13395,0:20:24
2018-08-01 06:23:59,35.2112,129.00967,37,13395,0:20:21
2018-08-01 06:24:02,35.21111,129.00934,37,13395,0:20:18
2018-08-01 06:24:05,35.21099,129.009,42,13395,0:20:15
2018-08-01 06:24:08,35.2109,129.00862,39,13395,0:20:12
2018-08-01 06:24:11,35.21083,129.0083,35,13395,0:20:09
2018-08-01 06:24:14,35.21074,129.008,34,13395,0:20:06
2018-08-01 06:24:17,35.21065,129.00768,35,13395,0:20:03
2018-08-01 06:24:20,35.21058,129.00731,38,13395,0:20:00
2018-08-01 06:24:23,35.21045,129.00696,38,13395,0:19:57
2018-08-01 06:24:26,35.21035,129.00659,39,13395,0:19:54
2018-08-01 06:24:29,35.21023,129.00623,40,13395,0:19:51
2018-08-01 06:24:32,35.21016,129.0058,42,13395,0:19:48
2018-08-01 06:24:35,35.21009,129.00543,38,13395,0:19:45
2018-08-01 06:24:38,35.20999,129.00519,29,13395,0:19:42
2018-08-01 06:24:41,35.20992,129.00488,34,13395,0:19:39
2018-08-01 06:24:44,35.20985,129.00459,31,13395,0:19:36
2018-08-01 06:24:47,35.20978,129.00429,30,13395,0:19:33
2018-08-01 06:24:50,35.20971,129.00401,26,13395,0:19:30
2018-08-01 06:24:53,35.20969,129.00372,26,13395,0:19:27
2018-08-01 06:24:56,35.20967,129.00337,35,13395,0:19:24
2018-08-01 06:24:59,35.20963,129.00305,30,13395,0:19:21
2018-08-01 06:25:02,35.2096,129.00281,23,13395,0:19:18
2018-08-01 06:25:05,35.20959,129.00266,11,13395,0:19:15
2018-08-01 06:25:08,35.20959,129.00258,3,13395,0:19:12
2018-08-01 06:25:11,35.20959,129.00256,0,13395,0:19:09
2018-08-01 06:25:14,35.2096,129.00255,0,13395,0:19:06
2018-08-01 06:25:17,35.2096,129.00255,0,13395,0:19:03
2018-08-01 06:25:20,35.20961,129.00255,0,13395,0:19:00
2018-08-01 06:25:23,35.20961,129.00255,0,13395,0:18:57
2018-08-01 06:25:26,35.20961,129.00255,0,13395,0:18:54
2018-08-01 06:25:29,35.20961,129.00255,0,13395,0:18:51
2018-08-01 06:25:32,35.20961,129.00255,0,13395,0:18:48
2018-08-01 06:25:35,35.20962,129.00255,0,13395,0:18:45
2018-08-01 06:25:38,35.20962,129.00255,0,13395,0:18:42
2018-08-01 06:25:41,35.20962,129.00255,0,13395,0:18:39
2018-08-01 06:25:44,35.20962,129.00255,0,13395,0:18:36
2018-08-01 06:25:47,35.20961,129.0025,12,13395,0:18:33
2018-08-01 06:25:50,35.20957,129.00232,22,13395,0:18:30
2018-08-01 06:25:53,35.20954,129.00209,26,13395,0:18:27
2018-08-01 06:25:56,35.20953,129.00172,40,13395,0:18:24
2018-08-01 06:25:59,35.20951,129.0013,42,13395,0:18:21
2018-08-01 06:26:02,35.20948,129.0009,41,13395,0:18:18
2018-08-01 06:26:05,35.20945,129.00056,32,13395,0:18:15
2018-08-01 06:26:08,35.20942,129.00029,29,13395,0:18:12
2018-08-01 06:26:11,35.20935,129,35,13395,0:18:09
2018-08-01 06:26:14,35.20923,128.99962,45,13395,0:18:06
2018-08-01 06:26:17,35.20903,128.99924,49,13395,0:18:03
2018-08-01 06:26:20,35.20878,128.99889,51,13395,0:18:00
2018-08-01 06:26:23,35.20847,128.99855,54,13395,0:17:57
2018-08-01 06:26:26,35.20818,128.99826,42,13395,0:17:54
2018-08-01 06:26:29,35.20798,128.99805,32,13395,0:17:51
2018-08-01 06:26:32,35.20778,128.99786,31,13395,0:17:48
2018-08-01 06:26:35,35.20759,128.99768,30,13395,0:17:45
2018-08-01 06:26:38,35.20739,128.9975,33,13395,0:17:42
2018-08-01 06:26:41,35.20718,128.99728,34,13395,0:17:39
2018-08-01 06:26:44,35.20697,128.99709,34,13395,0:17:36
2018-08-01 06:26:47,35.20677,128.9969,31,13395,0:17:33
2018-08-01 06:26:50,35.20655,128.9967,35,13395,0:17:30
2018-08-01 06:26:53,35.20634,128.99649,32,13395,0:17:27
2018-08-01 06:26:56,35.20618,128.99635,21,13395,0:17:24
2018-08-01 06:26:59,35.20607,128.99622,22,13395,0:17:21
2018-08-01 06:27:02,35.20591,128.99602,31,13395,0:17:18
2018-08-01 06:27:05,35.2057,128.99574,44,13395,0:17:15
2018-08-01 06:27:08,35.20542,128.99542,50,13395,0:17:12
2018-08-01 06:27:11,35.20515,128.9951,48,13395,0:17:09
2018-08-01 06:27:14,35.20487,128.9948,50,13395,0:17:06
2018-08-01 06:27:17,35.20459,128.99448,47,13395,0:17:03
2018-08-01 06:27:20,35.20438,128.99416,40,13395,0:17:00
2018-08-01 06:27:23,35.20432,128.9938,37,13395,0:16:57
2018-08-01 06:27:26,35.20441,128.99347,38,13395,0:16:54
2018-08-01 06:27:29,35.20458,128.99316,39,13395,0:16:51
2018-08-01 06:27:32,35.20478,128.99286,43,13395,0:16:48
2018-08-01 06:27:35,35.20501,128.99251,49,13395,0:16:45
2018-08-01 06:27:38,35.20526,128.99213,53,13395,0:16:42
2018-08-01 06:27:41,35.20554,128.99173,57,13395,0:16:39
2018-08-01 06:27:44,35.20582,128.9913,57,13395,0:16:36
2018-08-01 06:27:47,35.2061,128.99088,58,13395,0:16:33
2018-08-01 06:27:50,35.20639,128.99045,57,13395,0:16:30
2018-08-01 06:27:53,35.20667,128.99002,59,13395,0:16:27
2018-08-01 06:27:56,35.20697,128.98956,64,13395,0:16:24
2018-08-01 06:27:59,35.20729,128.98909,66,13395,0:16:21
2018-08-01 06:28:02,35.20762,128.98859,67,13395,0:16:18
2018-08-01 06:28:05,35.20795,128.9881,69,13395,0:16:15
2018-08-01 06:28:08,35.2083,128.98758,71,13395,0:16:12
2018-08-01 06:28:11,35.20866,128.98705,73,13395,0:16:09
2018-08-01 06:28:14,35.20903,128.9865,78,13395,0:16:06
2018-08-01 06:28:17,35.20942,128.98593,76,13395,0:16:03
2018-08-01 06:28:20,35.2098,128.98537,79,13395,0:16:00
2018-08-01 06:28:23,35.21019,128.98477,82,13395,0:15:57
2018-08-01 06:28:26,35.21052,128.98413,78,13395,0:15:54
2018-08-01 06:28:29,35.21074,128.98347,74,13395,0:15:51
2018-08-01 06:28:32,35.21088,128.98283,62,13395,0:15:48
2018-08-01 06:28:35,35.21095,128.98225,64,13395,0:15:45
2018-08-01 06:28:38,35.21103,128.98161,73,13395,0:15:42
2018-08-01 06:28:41,35.21109,128.98094,68,13395,0:15:39
2018-08-01 06:28:44,35.21115,128.9803,66,13395,0:15:36
2018-08-01 06:28:47,35.21121,128.97971,63,13395,0:15:33
2018-08-01 06:28:50,35.21127,128.97916,55,13395,0:15:30
2018-08-01 06:28:53,35.21133,128.97868,46,13395,0:15:27
2018-08-01 06:28:56,35.21137,128.97827,40,13395,0:15:24
2018-08-01 06:28:59,35.21141,128.97795,29,13395,0:15:21
2018-08-01 06:29:02,35.21143,128.97772,22,13395,0:15:18
2018-08-01 06:29:05,35.21145,128.97752,19,13395,0:15:15
2018-08-01 06:29:08,35.21146,128.97737,14,13395,0:15:12
2018-08-01 06:29:11,35.21148,128.97726,8,13395,0:15:09
2018-08-01 06:29:14,35.21148,128.9772,2,13395,0:15:06
2018-08-01 06:29:17,35.21148,128.9772,0,13395,0:15:03
2018-08-01 06:29:20,35.21148,128.9772,0,13395,0:15:00
2018-08-01 06:29:23,35.21148,128.97719,0,13395,0:14:57
2018-08-01 06:29:26,35.21148,128.97719,0,13395,0:14:54
2018-08-01 06:29:29,35.21148,128.97719,0,13395,0:14:51
2018-08-01 06:29:32,35.21148,128.97719,0,13395,0:14:48
2018-08-01 06:29:35,35.21148,128.97719,0,13395,0:14:45
2018-08-01 06:29:38,35.21148,128.97719,0,13395,0:14:42
2018-08-01 06:29:41,35.21148,128.97719,0,13395,0:14:39
2018-08-01 06:29:44,35.21148,128.97719,0,13395,0:14:36
2018-08-01 06:29:47,35.21148,128.97719,0,13395,0:14:33
2018-08-01 06:29:50,35.21148,128.97719,0,13395,0:14:30
2018-08-01 06:29:53,35.21148,128.97719,0,13395,0:14:27
2018-08-01 06:29:56,35.21148,128.97719,0,13395,0:14:24
2018-08-01 06:29:59,35.21148,128.97717,4,13395,0:14:21
2018-08-01 06:30:02,35.21148,128.9771,7,13395,0:14:18
2018-08-01 06:30:05,35.21149,128.97704,6,13395,0:14:15
2018-08-01 06:30:08,35.21149,128.97697,9,13395,0:14:12
2018-08-01 06:30:11,35.21151,128.97685,14,13395,0:14:09
2018-08-01 06:30:14,35.21152,128.97668,19,13395,0:14:06
2018-08-01 06:30:17,35.21155,128.97647,24,13395,0:14:03
2018-08-01 06:30:20,35.21158,128.97624,26,13395,0:14:00
2018-08-01 06:30:23,35.21161,128.97598,27,13395,0:13:57
2018-08-01 06:30:26,35.21163,128.97572,27,13395,0:13:54
2018-08-01 06:30:29,35.21165,128.97548,22,13395,0:13:51
2018-08-01 06:30:32,35.21167,128.97527,22,13395,0:13:48
2018-08-01 06:30:35,35.21169,128.97508,16,13395,0:13:45
2018-08-01 06:30:38,35.2117,128.97495,14,13395,0:13:42
2018-08-01 06:30:41,35.2117,128.97482,10,13395,0:13:39
2018-08-01 06:30:44,35.2117,128.97476,3,13395,0:13:36
2018-08-01 06:30:47,35.21171,128.97473,2,13395,0:13:33
2018-08-01 06:30:50,35.21171,128.97473,0,13395,0:13:30
2018-08-01 06:30:53,35.21171,128.97473,0,13395,0:13:27
2018-08-01 06:30:56,35.2117,128.97473,0,13395,0:13:24
2018-08-01 06:30:59,35.2117,128.97473,0,13395,0:13:21
2018-08-01 06:31:02,35.2117,128.97473,0,13395,0:13:18
2018-08-01 06:31:05,35.2117,128.97473,0,13395,0:13:15
2018-08-01 06:31:08,35.2117,128.97473,0,13395,0:13:12
2018-08-01 06:31:11,35.2117,128.97473,0,13395,0:13:09
2018-08-01 06:31:14,35.2117,128.97473,0,13395,0:13:06
2018-08-01 06:31:17,35.2117,128.97473,0,13395,0:13:03
2018-08-01 06:31:20,35.2117,128.97473,0,13395,0:13:00
2018-08-01 06:31:23,35.2117,128.97473,0,13395,0:12:57
2018-08-01 06:31:26,35.21171,128.97473,0,13395,0:12:54
2018-08-01 06:31:29,35.21171,128.97472,0,13395,0:12:51
2018-08-01 06:31:32,35.21171,128.97472,0,13395,0:12:48
2018-08-01 06:31:35,35.21171,128.97472,0,13395,0:12:45
2018-08-01 06:31:38,35.21171,128.9747,0,13395,0:12:42
2018-08-01 06:31:41,35.21171,128.9747,0,13395,0:12:39
2018-08-01 06:31:44,35.21171,128.9747,0,13395,0:12:36
2018-08-01 06:31:47,35.2117,128.9747,0,13395,0:12:33
2018-08-01 06:31:50,35.2117,128.9747,0,13395,0:12:30
2018-08-01 06:31:53,35.2117,128.9747,0,13395,0:12:27
2018-08-01 06:31:56,35.2117,128.9747,0,13395,0:12:24
2018-08-01 06:31:59,35.2117,128.9747,0,13395,0:12:21
2018-08-01 06:32:02,35.2117,128.9747,0,13395,0:12:18
2018-08-01 06:32:05,35.2117,128.9747,0,13395,0:12:15
2018-08-01 06:32:08,35.2117,128.9747,0,13395,0:12:12
2018-08-01 06:32:11,35.2117,128.9747,0,13395,0:12:09
2018-08-01 06:32:14,35.2117,128.9747,0,13395,0:12:06
2018-08-01 06:32:17,35.2117,128.9747,0,13395,0:12:03
2018-08-01 06:32:20,35.2117,128.9747,0,13395,0:12:00
2018-08-01 06:32:23,35.2117,128.97467,9,13395,0:11:57
2018-08-01 06:32:26,35.21169,128.97453,17,13395,0:11:54
2018-08-01 06:32:29,35.21163,128.9743,29,13395,0:11:51
2018-08-01 06:32:32,35.21151,128.97411,24,13395,0:11:48
2018-08-01 06:32:35,35.21133,128.97404,26,13395,0:11:45
2018-08-01 06:32:38,35.21108,128.97408,33,13395,0:11:42
2018-08-01 06:32:41,35.21076,128.97408,47,13395,0:11:39
2018-08-01 06:32:44,35.21037,128.97409,52,13395,0:11:36
2018-08-01 06:32:47,35.20992,128.97411,58,13395,0:11:33
2018-08-01 06:32:50,35.20948,128.97411,57,13395,0:11:30
2018-08-01 06:32:53,35.20905,128.97414,52,13395,0:11:27
2018-08-01 06:32:56,35.20869,128.97414,45,13395,0:11:24
2018-08-01 06:32:59,35.20835,128.97415,37,13395,0:11:21
2018-08-01 06:33:02,35.20812,128.97415,23,13395,0:11:18
2018-08-01 06:33:05,35.20798,128.97415,17,13395,0:11:15
2018-08-01 06:33:08,35.20779,128.97417,27,13395,0:11:12
2018-08-01 06:33:11,35.20755,128.97417,35,13395,0:11:09
2018-08-01 06:33:14,35.20723,128.97417,44,13395,0:11:06
2018-08-01 06:33:17,35.20687,128.97417,48,13395,0:11:03
2018-08-01 06:33:20,35.20647,128.97418,54,13395,0:11:00
2018-08-01 06:33:23,35.20604,128.97418,56,13395,0:10:57
2018-08-01 06:33:26,35.2056,128.97418,57,13395,0:10:54
