get_date,lat,lng,speed,line_no,time
2018-01-05 06:23:40,35.21175,129.01181,46,13395,0:19:57
2018-01-05 06:23:43,35.21161,129.0114,40,13395,0:19:54
2018-01-05 06:23:46,35.21153,129.01106,31,13395,0:19:51
2018-01-05 06:23:49,35.2115,129.01094,12,13395,0:19:48
2018-01-05 06:23:52,35.2115,129.01088,0,13395,0:19:45
2018-01-05 06:23:55,35.2115,129.01086,2,13395,0:19:42
2018-01-05 06:23:58,35.2115,129.0108,0,13395,0:19:39
2018-01-05 06:24:01,35.21149,129.01077,0,13395,0:19:36
2018-01-05 06:24:04,35.21149,129.01074,0,13395,0:19:33
2018-01-05 06:24:07,35.21149,129.01068,0,13395,0:19:30
2018-01-05 06:24:10,35.21149,129.01067,0,13395,0:19:27
2018-01-05 06:24:13,35.21148,129.01057,0,13395,0:19:24
2018-01-05 06:24:16,35.21146,129.0105,0,13395,0:19:21
2018-01-05 06:24:19,35.21146,129.01047,0,13395,0:19:18
2018-01-05 06:24:22,35.21146,129.01044,0,13395,0:19:15
2018-01-05 06:24:25,35.21145,129.01042,0,13395,0:19:12
2018-01-05 06:24:28,35.21145,129.01041,0,13395,0:19:09
2018-01-05 06:24:31,35.21145,129.01039,0,13395,0:19:06
2018-01-05 06:24:34,35.21145,129.01039,0,13395,0:19:03
2018-01-05 06:24:37,35.21145,129.01038,0,13395,0:19:00
2018-01-05 06:24:40,35.21144,129.01038,3,13395,0:18:57
2018-01-05 06:24:43,35.21144,129.01035,0,13395,0:18:54
2018-01-05 06:24:46,35.21143,129.01033,6,13395,0:18:51
2018-01-05 06:24:49,35.2114,129.01024,14,13395,0:18:48
2018-01-05 06:24:52,35.21135,129.01004,26,13395,0:18:45
2018-01-05 06:24:55,35.21127,129.00974,38,13395,0:18:42
2018-01-05 06:24:58,35.21117,129.00935,46,13395,0:18:39
2018-01-05 06:25:01,35.21105,129.0089,50,13395,0:18:36
2018-01-05 06:25:04,35.21094,129.00845,49,13395,0:18:33
2018-01-05 06:25:07,35.21085,129.00809,39,13395,0:18:30
2018-01-05 06:25:10,35.21076,129.00777,33,13395,0:18:27
2018-01-05 06:25:13,35.21072,129.0076,18,13395,0:18:24
