get_date,lat,lng,speed,line_no,time
2018-01-03 06:24:23,35.21171,129.01193,19,13395,0:20:21
2018-01-03 06:24:26,35.21167,129.01175,22,13395,0:20:18
2018-01-03 06:24:29,35.21163,129.01158,23,13395,0:20:15
2018-01-03 06:24:32,35.21161,129.01137,20,13395,0:20:12
2018-01-03 06:24:35,35.21157,129.01125,12,13395,0:20:09
2018-01-03 06:24:38,35.21157,129.01111,6,13395,0:20:06
2018-01-03 06:24:41,35.21157,129.011,3,13395,0:20:03
2018-01-03 06:24:44,35.21155,129.01091,3,13395,0:20:00
2018-01-03 06:24:47,35.21152,129.01082,10,13395,0:19:57
2018-01-03 06:24:50,35.21146,129.01071,18,13395,0:19:54
2018-01-03 06:24:53,35.2114,129.01045,25,13395,0:19:51
2018-01-03 06:24:56,35.2113,129.0101,36,13395,0:19:48
2018-01-03 06:24:59,35.2112,129.00972,40,13395,0:19:45
2018-01-03 06:25:02,35.2111,129.00929,42,13395,0:19:42
2018-01-03 06:25:05,35.21099,129.00885,45,13395,0:19:39
2018-01-03 06:25:08,35.21088,129.00845,40,13395,0:19:36
2018-01-03 06:25:11,35.21082,129.00818,26,13395,0:19:33
2018-01-03 06:25:14,35.21075,129.00803,12,13395,0:19:30
2018-01-03 06:25:17,35.21075,129.00797,0,13395,0:19:27
2018-01-03 06:25:20,35.21075,129.00792,0,13395,0:19:24
2018-01-03 06:25:23,35.21075,129.0079,0,13395,0:19:21
2018-01-03 06:25:26,35.21077,129.00787,0,13395,0:19:18
2018-01-03 06:25:29,35.21077,129.00786,0,13395,0:19:15
2018-01-03 06:25:32,35.21077,129.00787,3,13395,0:19:12
2018-01-03 06:25:35,35.21074,129.00781,8,13395,0:19:09
2018-01-03 06:25:38,35.21073,129.00771,13,13395,0:19:06
2018-01-03 06:25:41,35.2107,129.00751,21,13395,0:19:03
2018-01-03 06:25:44,35.21056,129.00716,38,13395,0:19:00
2018-01-03 06:25:47,35.21043,129.00681,40,13395,0:18:57
2018-01-03 06:25:50,35.21033,129.00635,48,13395,0:18:54
2018-01-03 06:25:53,35.21026,129.00587,48,13395,0:18:51
2018-01-03 06:25:56,35.21015,129.00542,46,13395,0:18:48
2018-01-03 06:25:59,35.21004,129.00502,43,13395,0:18:45
2018-01-03 06:26:02,35.20994,129.00461,42,13395,0:18:42
2018-01-03 06:26:05,35.20984,129.0042,43,13395,0:18:39
2018-01-03 06:26:08,35.20977,129.0038,41,13395,0:18:36
2018-01-03 06:26:11,35.2097,129.00336,46,13395,0:18:33
2018-01-03 06:26:14,35.20966,129.00287,50,13395,0:18:30
2018-01-03 06:26:17,35.20963,129.00237,52,13395,0:18:27
2018-01-03 06:26:20,35.20959,129.00175,58,13395,0:18:24
2018-01-03 06:26:23,35.20956,129.00119,55,13395,0:18:21
2018-01-03 06:26:26,35.20952,129.00075,41,13395,0:18:18
2018-01-03 06:26:29,35.20949,129.00046,21,13395,0:18:15
2018-01-03 06:26:32,35.20947,129.00037,2,13395,0:18:12
2018-01-03 06:26:35,35.20946,129.00034,0,13395,0:18:09
2018-01-03 06:26:38,35.20945,129.00031,0,13395,0:18:06
2018-01-03 06:26:41,35.20945,129.00031,0,13395,0:18:03
2018-01-03 06:26:44,35.20945,129.00029,0,13395,0:18:00
2018-01-03 06:26:47,35.20945,129.00027,0,13395,0:17:57
2018-01-03 06:26:50,35.20944,129.00024,0,13395,0:17:54
2018-01-03 06:26:53,35.20944,129.00023,0,13395,0:17:51
2018-01-03 06:26:56,35.20944,129.00021,0,13395,0:17:48
2018-01-03 06:26:59,35.20944,129.0002,0,13395,0:17:45
2018-01-03 06:27:02,35.20945,129.00018,0,13395,0:17:42
2018-01-03 06:27:05,35.20945,129.00017,1,13395,0:17:39
2018-01-03 06:27:08,35.20942,129.00012,6,13395,0:17:36
2018-01-03 06:27:11,35.2094,129.00008,7,13395,0:17:33
2018-01-03 06:27:14,35.20939,129.00002,2,13395,0:17:30
2018-01-03 06:27:17,35.20938,129.00002,0,13395,0:17:27
2018-01-03 06:27:20,35.20937,128.99995,10,13395,0:17:24
2018-01-03 06:27:23,35.20933,128.99983,15,13395,0:17:21
2018-01-03 06:27:26,35.20926,128.99966,22,13395,0:17:18
2018-01-03 06:27:29,35.20917,128.99944,29,13395,0:17:15
2018-01-03 06:27:32,35.20901,128.99915,38,13395,0:17:12
2018-01-03 06:27:35,35.20879,128.99887,41,13395,0:17:09
2018-01-03 06:27:38,35.2085,128.99857,51,13395,0:17:06
2018-01-03 06:27:41,35.20818,128.99825,52,13395,0:17:03
2018-01-03 06:27:44,35.2079,128.99797,42,13395,0:17:00
2018-01-03 06:27:47,35.2077,128.99777,28,13395,0:16:57
2018-01-03 06:27:50,35.2075,128.9976,32,13395,0:16:54
2018-01-03 06:27:53,35.20725,128.99741,38,13395,0:16:51
2018-01-03 06:27:56,35.20699,128.99715,44,13395,0:16:48
2018-01-03 06:27:59,35.20672,128.99686,47,13395,0:16:45
2018-01-03 06:28:02,35.20642,128.99654,52,13395,0:16:42
2018-01-03 06:28:05,35.20611,128.9962,52,13395,0:16:39
2018-01-03 06:28:08,35.20583,128.99585,53,13395,0:16:36
2018-01-03 06:28:11,35.20552,128.99548,53,13395,0:16:33
2018-01-03 06:28:14,35.20521,128.99513,52,13395,0:16:30
2018-01-03 06:28:17,35.20492,128.9948,51,13395,0:16:27
2018-01-03 06:28:20,35.20463,128.99446,46,13395,0:16:24
2018-01-03 06:28:23,35.20442,128.99417,37,13395,0:16:21
2018-01-03 06:28:26,35.20436,128.99385,32,13395,0:16:18
2018-01-03 06:28:29,35.20443,128.99359,28,13395,0:16:15
2018-01-03 06:28:32,35.20455,128.9933,37,13395,0:16:12
2018-01-03 06:28:35,35.20475,128.99298,46,13395,0:16:09
2018-01-03 06:28:38,35.20499,128.9926,53,13395,0:16:06
2018-01-03 06:28:41,35.20527,128.99217,61,13395,0:16:03
2018-01-03 06:28:44,35.20558,128.9917,66,13395,0:16:00
2018-01-03 06:28:47,35.20591,128.99121,68,13395,0:15:57
2018-01-03 06:28:50,35.20625,128.99069,72,13395,0:15:54
2018-01-03 06:28:53,35.20661,128.99014,75,13395,0:15:51
2018-01-03 06:28:56,35.20698,128.98958,77,13395,0:15:48
2018-01-03 06:28:59,35.20737,128.98901,79,13395,0:15:45
2018-01-03 06:29:02,35.20775,128.98845,77,13395,0:15:42
2018-01-03 06:29:05,35.20812,128.98788,77,13395,0:15:39
2018-01-03 06:29:08,35.2085,128.98732,76,13395,0:15:36
2018-01-03 06:29:11,35.20887,128.98676,75,13395,0:15:33
2018-01-03 06:29:14,35.20924,128.98621,75,13395,0:15:30
2018-01-03 06:29:17,35.20961,128.98566,73,13395,0:15:27
2018-01-03 06:29:20,35.20996,128.98514,71,13395,0:15:24
2018-01-03 06:29:23,35.21028,128.98463,66,13395,0:15:21
2018-01-03 06:29:26,35.21054,128.98409,67,13395,0:15:18
2018-01-03 06:29:29,35.21074,128.98349,69,13395,0:15:15
2018-01-03 06:29:32,35.21088,128.98286,65,13395,0:15:12
2018-01-03 06:29:35,35.21095,128.98228,64,13395,0:15:09
2018-01-03 06:29:38,35.21102,128.98166,69,13395,0:15:06
2018-01-03 06:29:41,35.21108,128.98102,68,13395,0:15:03
2018-01-03 06:29:44,35.21114,128.98041,64,13395,0:15:00
2018-01-03 06:29:47,35.2112,128.97981,61,13395,0:14:57
2018-01-03 06:29:50,35.21125,128.97931,51,13395,0:14:54
2018-01-03 06:29:53,35.21129,128.97884,50,13395,0:14:51
2018-01-03 06:29:56,35.21133,128.97838,45,13395,0:14:48
2018-01-03 06:29:59,35.21137,128.97804,30,13395,0:14:45
2018-01-03 06:30:02,35.21139,128.97781,21,13395,0:14:42
2018-01-03 06:30:05,35.21141,128.97765,13,13395,0:14:39
2018-01-03 06:30:08,35.21141,128.97755,8,13395,0:14:36
2018-01-03 06:30:11,35.21142,128.97746,12,13395,0:14:33
2018-01-03 06:30:14,35.21144,128.97731,19,13395,0:14:30
2018-01-03 06:30:17,35.21146,128.9771,25,13395,0:14:27
2018-01-03 06:30:20,35.21149,128.97684,27,13395,0:14:24
2018-01-03 06:30:23,35.21152,128.97659,25,13395,0:14:21
2018-01-03 06:30:26,35.21154,128.97635,24,13395,0:14:18
2018-01-03 06:30:29,35.21156,128.97612,25,13395,0:14:15
2018-01-03 06:30:32,35.21159,128.97591,21,13395,0:14:12
2018-01-03 06:30:35,35.2116,128.97574,18,13395,0:14:09
2018-01-03 06:30:38,35.21162,128.97559,15,13395,0:14:06
2018-01-03 06:30:41,35.21163,128.97545,14,13395,0:14:03
2018-01-03 06:30:44,35.21164,128.97533,12,13395,0:14:00
2018-01-03 06:30:47,35.21165,128.9752,10,13395,0:13:57
2018-01-03 06:30:50,35.21166,128.97511,10,13395,0:13:54
2018-01-03 06:30:53,35.21167,128.97504,7,13395,0:13:51
2018-01-03 06:30:56,35.21167,128.97501,0,13395,0:13:48
2018-01-03 06:30:59,35.21167,128.97501,0,13395,0:13:45
2018-01-03 06:31:02,35.21167,128.97501,0,13395,0:13:42
2018-01-03 06:31:05,35.21166,128.97501,0,13395,0:13:39
2018-01-03 06:31:08,35.21166,128.97501,0,13395,0:13:36
2018-01-03 06:31:11,35.21165,128.97501,0,13395,0:13:33
2018-01-03 06:31:14,35.21165,128.97501,0,13395,0:13:30
2018-01-03 06:31:17,35.21165,128.97499,0,13395,0:13:27
2018-01-03 06:31:20,35.21165,128.97499,0,13395,0:13:24
2018-01-03 06:31:23,35.21165,128.97498,0,13395,0:13:21
2018-01-03 06:31:26,35.21165,128.97498,0,13395,0:13:18
2018-01-03 06:31:29,35.21165,128.97496,0,13395,0:13:15
2018-01-03 06:31:32,35.21165,128.97496,0,13395,0:13:12
2018-01-03 06:31:35,35.21166,128.97496,0,13395,0:13:09
2018-01-03 06:31:38,35.21167,128.97495,0,13395,0:13:06
2018-01-03 06:31:41,35.21167,128.97495,0,13395,0:13:03
2018-01-03 06:31:44,35.21167,128.97493,0,13395,0:13:00
2018-01-03 06:31:47,35.21167,128.97493,0,13395,0:12:57
2018-01-03 06:31:50,35.21168,128.97493,0,13395,0:12:54
2018-01-03 06:31:53,35.21168,128.97493,0,13395,0:12:51
2018-01-03 06:31:56,35.21169,128.97493,0,13395,0:12:48
2018-01-03 06:31:59,35.21168,128.97491,0,13395,0:12:45
2018-01-03 06:32:02,35.21168,128.97491,0,13395,0:12:42
2018-01-03 06:32:05,35.21167,128.9749,0,13395,0:12:39
2018-01-03 06:32:08,35.21167,128.9749,0,13395,0:12:36
2018-01-03 06:32:11,35.21167,128.97488,0,13395,0:12:33
2018-01-03 06:32:14,35.21167,128.97487,2,13395,0:12:30
2018-01-03 06:32:17,35.21167,128.97485,2,13395,0:12:27
2018-01-03 06:32:20,35.21167,128.97482,3,13395,0:12:24
2018-01-03 06:32:23,35.21167,128.97478,9,13395,0:12:21
2018-01-03 06:32:26,35.21168,128.97466,16,13395,0:12:18
2018-01-03 06:32:29,35.21166,128.97444,27,13395,0:12:15
2018-01-03 06:32:32,35.21158,128.97423,23,13395,0:12:12
2018-01-03 06:32:35,35.21141,128.97411,26,13395,0:12:09
2018-01-03 06:32:38,35.21114,128.97418,39,13395,0:12:06
2018-01-03 06:32:41,35.2108,128.97421,43,13395,0:12:03
2018-01-03 06:32:44,35.2104,128.97423,52,13395,0:12:00
2018-01-03 06:32:47,35.20996,128.97424,60,13395,0:11:57
2018-01-03 06:32:50,35.20948,128.97427,62,13395,0:11:54
2018-01-03 06:32:53,35.20899,128.9743,63,13395,0:11:51
2018-01-03 06:32:56,35.20851,128.97432,62,13395,0:11:48
2018-01-03 06:32:59,35.20804,128.97437,62,13395,0:11:45
2018-01-03 06:33:02,35.20757,128.97437,61,13395,0:11:42
2018-01-03 06:33:05,35.20711,128.97438,58,13395,0:11:39
2018-01-03 06:33:08,35.20665,128.97441,62,13395,0:11:36
2018-01-03 06:33:11,35.20615,128.97437,65,13395,0:11:33
2018-01-03 06:33:14,35.20566,128.97437,62,13395,0:11:30
2018-01-03 06:33:17,35.2052,128.97438,60,13395,0:11:27
2018-01-03 06:33:20,35.20481,128.97444,50,13395,0:11:24
2018-01-03 06:33:23,35.20448,128.97437,45,13395,0:11:21
2018-01-03 06:33:26,35.20421,128.97423,42,13395,0:11:18
2018-01-03 06:33:29,35.20391,128.97398,43,13395,0:11:15
2018-01-03 06:33:32,35.20366,128.97368,44,13395,0:11:12
2018-01-03 06:33:35,35.20343,128.97334,46,13395,0:11:09
2018-01-03 06:33:38,35.20319,128.97298,47,13395,0:11:06
2018-01-03 06:33:41,35.20297,128.97264,42,13395,0:11:03
2018-01-03 06:33:44,35.20277,128.97234,41,13395,0:11:00
2018-01-03 06:33:47,35.20257,128.97205,37,13395,0:10:57
2018-01-03 06:33:50,35.2024,128.9718,31,13395,0:10:54
2018-01-03 06:33:53,35.20226,128.97159,28,13395,0:10:51
2018-01-03 06:33:56,35.2021,128.97136,32,13395,0:10:48
2018-01-03 06:33:59,35.20193,128.97112,31,13395,0:10:45
2018-01-03 06:34:02,35.2018,128.97092,22,13395,0:10:42
2018-01-03 06:34:05,35.20171,128.97078,16,13395,0:10:39
2018-01-03 06:34:08,35.20163,128.97067,18,13395,0:10:36
2018-01-03 06:34:11,35.20151,128.97052,26,13395,0:10:33
2018-01-03 06:34:14,35.20136,128.97031,30,13395,0:10:30
2018-01-03 06:34:17,35.20118,128.97006,36,13395,0:10:27
2018-01-03 06:34:20,35.20098,128.96979,38,13395,0:10:24
2018-01-03 06:34:23,35.20079,128.96953,37,13395,0:10:21
2018-01-03 06:34:26,35.20058,128.96927,38,13395,0:10:18
2018-01-03 06:34:29,35.20037,128.96901,38,13395,0:10:15
2018-01-03 06:34:32,35.20013,128.96872,46,13395,0:10:12
2018-01-03 06:34:35,35.19985,128.96841,50,13395,0:10:09
2018-01-03 06:34:38,35.19954,128.96806,56,13395,0:10:06
2018-01-03 06:34:41,35.19919,128.96768,63,13395,0:10:03
2018-01-03 06:34:44,35.1988,128.96725,68,13395,0:10:00
2018-01-03 06:34:47,35.19839,128.96683,68,13395,0:09:57
2018-01-03 06:34:50,35.19799,128.96642,69,13395,0:09:54
2018-01-03 06:34:53,35.19756,128.966,72,13395,0:09:51
2018-01-03 06:34:56,35.19711,128.96558,75,13395,0:09:48
2018-01-03 06:34:59,35.19665,128.96515,73,13395,0:09:45
2018-01-03 06:35:02,35.19619,128.96474,73,13395,0:09:42
2018-01-03 06:35:05,35.19573,128.96434,72,13395,0:09:39
2018-01-03 06:35:08,35.19528,128.96397,66,13395,0:09:36
2018-01-03 06:35:11,35.19485,128.96364,66,13395,0:09:33
2018-01-03 06:35:14,35.1944,128.96332,68,13395,0:09:30
2018-01-03 06:35:17,35.19393,128.963,71,13395,0:09:27
2018-01-03 06:35:20,35.19344,128.96268,73,13395,0:09:24
2018-01-03 06:35:23,35.19292,128.96239,73,13395,0:09:21
2018-01-03 06:35:26,35.19239,128.96211,73,13395,0:09:18
2018-01-03 06:35:29,35.19187,128.96185,72,13395,0:09:15
2018-01-03 06:35:32,35.19135,128.96161,72,13395,0:09:12
2018-01-03 06:35:35,35.19083,128.96135,73,13395,0:09:09
2018-01-03 06:35:38,35.19028,128.96109,76,13395,0:09:06
2018-01-03 06:35:41,35.18971,128.96083,80,13395,0:09:03
2018-01-03 06:35:44,35.1891,128.9606,84,13395,0:09:00
2018-01-03 06:35:47,35.18847,128.96039,84,13395,0:08:57
2018-01-03 06:35:50,35.18783,128.96017,86,13395,0:08:54
2018-01-03 06:35:53,35.18718,128.96001,86,13395,0:08:51
2018-01-03 06:35:56,35.18652,128.95982,87,13395,0:08:48
2018-01-03 06:35:59,35.18587,128.95964,87,13395,0:08:45
2018-01-03 06:36:02,35.18523,128.95944,85,13395,0:08:42
2018-01-03 06:36:05,35.18461,128.95923,81,13395,0:08:39
2018-01-03 06:36:08,35.18402,128.95898,78,13395,0:08:36
2018-01-03 06:36:11,35.18348,128.95876,69,13395,0:08:33
2018-01-03 06:36:14,35.18301,128.95856,58,13395,0:08:30
2018-01-03 06:36:17,35.18261,128.9584,52,13395,0:08:27
2018-01-03 06:36:20,35.18224,128.95827,45,13395,0:08:24
2018-01-03 06:36:23,35.18198,128.95816,27,13395,0:08:21
2018-01-03 06:36:26,35.18183,128.95811,17,13395,0:08:18
2018-01-03 06:36:29,35.18171,128.95807,14,13395,0:08:15
2018-01-03 06:36:32,35.18161,128.95805,11,13395,0:08:12
2018-01-03 06:36:35,35.18153,128.95804,12,13395,0:08:09
2018-01-03 06:36:38,35.18146,128.95802,4,13395,0:08:06
2018-01-03 06:36:41,35.18145,128.95802,1,13395,0:08:03
2018-01-03 06:36:44,35.18143,128.95802,0,13395,0:08:00
2018-01-03 06:36:47,35.18142,128.95801,0,13395,0:07:57
2018-01-03 06:36:50,35.18142,128.95801,0,13395,0:07:54
2018-01-03 06:36:53,35.18142,128.95801,0,13395,0:07:51
2018-01-03 06:36:56,35.18141,128.95801,0,13395,0:07:48
2018-01-03 06:36:59,35.18141,128.95801,0,13395,0:07:45
2018-01-03 06:37:02,35.18141,128.95801,0,13395,0:07:42
2018-01-03 06:37:05,35.1814,128.95801,0,13395,0:07:39
2018-01-03 06:37:08,35.18139,128.95801,3,13395,0:07:36
