get_date,lat,lng,speed,line_no,time
2018-01-02 06:23:51,35.21168,129.01173,37,13395,0:20:45
2018-01-02 06:23:54,35.21161,129.01141,28,13395,0:20:42
2018-01-02 06:23:57,35.21156,129.01118,16,13395,0:20:39
2018-01-02 06:24:00,35.21154,129.01108,2,13395,0:20:36
2018-01-02 06:24:03,35.21154,129.01105,0,13395,0:20:33
2018-01-02 06:24:06,35.21154,129.01103,0,13395,0:20:30
2018-01-02 06:24:09,35.21153,129.01102,0,13395,0:20:27
2018-01-02 06:24:12,35.21154,129.01102,0,13395,0:20:24
2018-01-02 06:24:15,35.21154,129.01102,0,13395,0:20:21
2018-01-02 06:24:18,35.21153,129.01099,0,13395,0:20:18
2018-01-02 06:24:21,35.21152,129.01097,0,13395,0:20:15
2018-01-02 06:24:24,35.21152,129.01097,0,13395,0:20:12
2018-01-02 06:24:27,35.21152,129.01096,0,13395,0:20:09
2018-01-02 06:24:30,35.21152,129.01096,0,13395,0:20:06
2018-01-02 06:24:33,35.21151,129.01096,0,13395,0:20:03
2018-01-02 06:24:36,35.21151,129.01094,0,13395,0:20:00
2018-01-02 06:24:39,35.21151,129.01094,0,13395,0:19:57
2018-01-02 06:24:42,35.21151,129.01094,0,13395,0:19:54
2018-01-02 06:24:45,35.2115,129.01094,0,13395,0:19:51
2018-01-02 06:24:48,35.2115,129.01089,9,13395,0:19:48
2018-01-02 06:24:51,35.21148,129.01074,18,13395,0:19:45
2018-01-02 06:24:54,35.21141,129.01051,29,13395,0:19:42
2018-01-02 06:24:57,35.21134,129.01022,33,13395,0:19:39
2018-01-02 06:25:00,35.21126,129.0099,37,13395,0:19:36
2018-01-02 06:25:03,35.21118,129.00954,40,13395,0:19:33
2018-01-02 06:25:06,35.21109,129.00916,41,13395,0:19:30
2018-01-02 06:25:09,35.21099,129.00877,40,13395,0:19:27
2018-01-02 06:25:12,35.2109,129.00848,31,13395,0:19:24
2018-01-02 06:25:15,35.21084,129.00826,23,13395,0:19:21
2018-01-02 06:25:18,35.21081,129.00819,8,13395,0:19:18
2018-01-02 06:25:21,35.21078,129.0081,5,13395,0:19:15
2018-01-02 06:25:24,35.21078,129.00806,3,13395,0:19:12
2018-01-02 06:25:27,35.21077,129.00803,5,13395,0:19:09
2018-01-02 06:25:30,35.21073,129.00797,10,13395,0:19:06
2018-01-02 06:25:33,35.21071,129.00783,14,13395,0:19:03
2018-01-02 06:25:36,35.21065,129.00761,24,13395,0:19:00
2018-01-02 06:25:39,35.21057,129.00734,32,13395,0:18:57
2018-01-02 06:25:42,35.21045,129.00699,41,13395,0:18:54
2018-01-02 06:25:45,35.21034,129.00656,49,13395,0:18:51
2018-01-02 06:25:48,35.21023,129.0061,47,13395,0:18:48
2018-01-02 06:25:51,35.21017,129.00569,43,13395,0:18:45
2018-01-02 06:25:54,35.21011,129.00533,38,13395,0:18:42
2018-01-02 06:25:57,35.21002,129.00499,38,13395,0:18:39
2018-01-02 06:26:00,35.20994,129.00465,34,13395,0:18:36
2018-01-02 06:26:03,35.20986,129.00438,28,13395,0:18:33
2018-01-02 06:26:06,35.20979,129.0041,28,13395,0:18:30
2018-01-02 06:26:09,35.20974,129.00386,26,13395,0:18:27
2018-01-02 06:26:12,35.2097,129.00362,25,13395,0:18:24
2018-01-02 06:26:15,35.20967,129.00336,26,13395,0:18:21
2018-01-02 06:26:18,35.20964,129.00314,23,13395,0:18:18
2018-01-02 06:26:21,35.20963,129.00293,22,13395,0:18:15
2018-01-02 06:26:24,35.20961,129.00267,27,13395,0:18:12
2018-01-02 06:26:27,35.20958,129.00237,33,13395,0:18:09
2018-01-02 06:26:30,35.20957,129.00203,36,13395,0:18:06
2018-01-02 06:26:33,35.20953,129.0016,40,13395,0:18:03
2018-01-02 06:26:36,35.20951,129.00121,43,13395,0:18:00
2018-01-02 06:26:39,35.20947,129.00076,43,13395,0:17:57
2018-01-02 06:26:42,35.20943,129.00038,39,13395,0:17:54
2018-01-02 06:26:45,35.20932,128.99998,43,13395,0:17:51
2018-01-02 06:26:48,35.20917,128.9996,45,13395,0:17:48
2018-01-02 06:26:51,35.20895,128.99922,47,13395,0:17:45
2018-01-02 06:26:54,35.20868,128.9989,49,13395,0:17:42
2018-01-02 06:26:57,35.20838,128.99858,52,13395,0:17:39
2018-01-02 06:27:00,35.20808,128.99828,48,13395,0:17:36
