get_date,lat,lng,speed,line_no,y
2018-12-06 06:24:14,35.21183,129.01154,37,13395,0:25:21
2018-12-06 06:24:17,35.21177,129.01123,28,13395,0:25:18
2018-12-06 06:24:23,35.21165,129.01079,9,13395,0:25:12
2018-12-06 06:24:26,35.21171,129.01068,12,13395,0:25:09
2018-12-06 06:24:29,35.21182,129.01065,16,13395,0:25:06
2018-12-06 06:24:32,35.21198,129.0106,21,13395,0:25:03
2018-12-06 06:24:35,35.21214,129.0105,21,13395,0:25:00
2018-12-06 06:24:38,35.21227,129.01044,14,13395,0:24:57
2018-12-06 06:24:41,35.21235,129.01041,8,13395,0:24:54
2018-12-06 06:24:44,35.21239,129.01039,1,13395,0:24:51
2018-12-06 06:24:47,35.2124,129.01039,0,13395,0:24:48
2018-12-06 06:24:50,35.21239,129.01039,0,13395,0:24:45
2018-12-06 06:24:53,35.21239,129.01039,0,13395,0:24:42
2018-12-06 06:24:56,35.21239,129.01038,1,13395,0:24:39
2018-12-06 06:24:59,35.21238,129.01038,0,13395,0:24:36
2018-12-06 06:25:02,35.21238,129.01036,0,13395,0:24:33
2018-12-06 06:25:05,35.21238,129.01036,0,13395,0:24:30
2018-12-06 06:25:08,35.21237,129.01036,0,13395,0:24:27
2018-12-06 06:25:11,35.21237,129.01036,0,13395,0:24:24
2018-12-06 06:25:14,35.21237,129.01036,0,13395,0:24:21
2018-12-06 06:25:17,35.21237,129.01036,0,13395,0:24:18
2018-12-06 06:25:20,35.21241,129.01033,8,13395,0:24:15
2018-12-06 06:25:23,35.21254,129.0103,18,13395,0:24:12
2018-12-06 06:25:26,35.21271,129.01024,24,13395,0:24:09
2018-12-06 06:25:29,35.21289,129.01018,25,13395,0:24:06
2018-12-06 06:25:32,35.21311,129.0101,29,13395,0:24:03
2018-12-06 06:25:38,35.21366,129.0099,41,13395,0:23:57
2018-12-06 06:25:41,35.21399,129.0098,43,13395,0:23:54
2018-12-06 06:25:44,35.21429,129.0097,39,13395,0:23:51
2018-12-06 06:25:47,35.2146,129.00964,42,13395,0:23:48
2018-12-06 06:25:50,35.21492,129.00955,42,13395,0:23:45
2018-12-06 06:25:53,35.2152,129.00948,36,13395,0:23:42
2018-12-06 06:25:56,35.21546,129.00938,35,13395,0:23:39
2018-12-06 06:25:59,35.21575,129.00929,38,13395,0:23:36
2018-12-06 06:26:02,35.21607,129.00919,42,13395,0:23:33
2018-12-06 06:26:05,35.21639,129.00909,40,13395,0:23:30
2018-12-06 06:26:08,35.2167,129.00903,39,13395,0:23:27
2018-12-06 06:26:11,35.217,129.00903,37,13395,0:23:24
2018-12-06 06:26:14,35.21722,129.00906,27,13395,0:23:21
2018-12-06 06:26:17,35.21735,129.00908,10,13395,0:23:18
2018-12-06 06:26:20,35.21738,129.00908,0,13395,0:23:15
2018-12-06 06:26:23,35.21738,129.00908,0,13395,0:23:12
2018-12-06 06:26:26,35.21739,129.00906,0,13395,0:23:09
2018-12-06 06:26:29,35.21739,129.00906,0,13395,0:23:06
2018-12-06 06:26:32,35.2174,129.00906,0,13395,0:23:03
2018-12-06 06:26:35,35.2174,129.00906,0,13395,0:23:00
2018-12-06 06:26:38,35.2174,129.00906,0,13395,0:22:57
2018-12-06 06:26:41,35.2174,129.00906,0,13395,0:22:54
2018-12-06 06:26:44,35.21743,129.00908,4,13395,0:22:51
2018-12-06 06:26:47,35.21752,129.00909,16,13395,0:22:48
2018-12-06 06:26:50,35.21766,129.00911,20,13395,0:22:45
2018-12-06 06:26:53,35.21787,129.00911,28,13395,0:22:42
2018-12-06 06:26:56,35.2181,129.00908,32,13395,0:22:39
2018-12-06 06:26:59,35.2184,129.00902,41,13395,0:22:36
2018-12-06 06:27:02,35.21873,129.00891,45,13395,0:22:33
2018-12-06 06:27:05,35.21908,129.0088,46,13395,0:22:30
2018-12-06 06:27:08,35.21943,129.0087,45,13395,0:22:27
2018-12-06 06:27:11,35.21975,129.00859,42,13395,0:22:24
2018-12-06 06:27:14,35.22002,129.0085,36,13395,0:22:21
2018-12-06 06:27:17,35.22025,129.00845,29,13395,0:22:18
2018-12-06 06:27:20,35.22042,129.00842,20,13395,0:22:15
2018-12-06 06:27:23,35.22047,129.00835,9,13395,0:22:12
2018-12-06 06:27:26,35.22046,129.00832,1,13395,0:22:09
