get_date,lat,lng,speed,line_no,y
2018-12-04 06:24:24,35.21176,129.01164,28,13395,0:25:54
2018-12-04 06:24:27,35.21175,129.01143,21,13395,0:25:51
2018-12-04 06:24:30,35.21173,129.01128,14,13395,0:25:48
2018-12-04 06:24:33,35.2117,129.01114,8,13395,0:25:45
2018-12-04 06:24:36,35.21167,129.011,5,13395,0:25:42
2018-12-04 06:24:39,35.21164,129.01091,2,13395,0:25:39
2018-12-04 06:24:48,35.21162,129.01082,0,13395,0:25:30
2018-12-04 06:24:51,35.21162,129.0108,0,13395,0:25:27
2018-12-04 06:24:54,35.21162,129.01076,2,13395,0:25:24
2018-12-04 06:24:57,35.21163,129.01071,5,13395,0:25:21
2018-12-04 06:25:00,35.21165,129.01067,6,13395,0:25:18
2018-12-04 06:25:03,35.21169,129.0106,8,13395,0:25:15
2018-12-04 06:25:06,35.21176,129.01059,10,13395,0:25:12
2018-12-04 06:25:09,35.21183,129.01057,11,13395,0:25:09
2018-12-04 06:25:12,35.21192,129.01054,12,13395,0:25:06
2018-12-04 06:25:15,35.212,129.01051,10,13395,0:25:03
2018-12-04 06:25:18,35.21206,129.01048,6,13395,0:25:00
2018-12-04 06:25:21,35.21209,129.01045,4,13395,0:24:57
2018-12-04 06:25:24,35.21213,129.01041,9,13395,0:24:54
2018-12-04 06:25:27,35.21222,129.01038,15,13395,0:24:51
2018-12-04 06:25:30,35.21236,129.01035,19,13395,0:24:48
2018-12-04 06:25:33,35.21252,129.01028,21,13395,0:24:45
2018-12-04 06:25:36,35.21269,129.01022,24,13395,0:24:42
2018-12-04 06:25:39,35.21286,129.01015,23,13395,0:24:39
2018-12-04 06:25:42,35.21307,129.01007,29,13395,0:24:36
2018-12-04 06:25:48,35.21364,129.00987,41,13395,0:24:30
2018-12-04 06:25:51,35.21398,129.00977,44,13395,0:24:27
2018-12-04 06:25:54,35.2143,129.00966,42,13395,0:24:24
2018-12-04 06:25:57,35.21464,129.00958,44,13395,0:24:21
2018-12-04 06:26:00,35.21498,129.00951,44,13395,0:24:18
2018-12-04 06:26:03,35.21528,129.00941,38,13395,0:24:15
2018-12-04 06:26:06,35.21554,129.00934,35,13395,0:24:12
2018-12-04 06:26:09,35.21583,129.00926,38,13395,0:24:09
2018-12-04 06:26:12,35.21613,129.00916,40,13395,0:24:06
2018-12-04 06:26:15,35.21644,129.00906,41,13395,0:24:03
2018-12-04 06:26:18,35.21675,129.00902,39,13395,0:24:00
2018-12-04 06:26:21,35.21704,129.00903,36,13395,0:23:57
2018-12-04 06:26:24,35.21727,129.00906,24,13395,0:23:54
2018-12-04 06:26:27,35.21739,129.00908,11,13395,0:23:51
2018-12-04 06:26:30,35.21743,129.00908,1,13395,0:23:48
2018-12-04 06:26:33,35.21743,129.00908,0,13395,0:23:45
2018-12-04 06:26:36,35.21743,129.00908,0,13395,0:23:42
2018-12-04 06:26:39,35.21743,129.00908,0,13395,0:23:39
2018-12-04 06:26:42,35.21744,129.00908,1,13395,0:23:36
