get_date,lat,lng,speed,line_no,y
2018-06-01 06:23:31,35.21175,129.01175,45,13395,0:17:51
2018-06-01 06:23:34,35.21165,129.01129,49,13395,0:17:48
2018-06-01 06:23:37,35.21153,129.01083,50,13395,0:17:45
2018-06-01 06:23:40,35.21141,129.01036,52,13395,0:17:42
2018-06-01 06:23:43,35.21128,129.00987,52,13395,0:17:39
2018-06-01 06:23:46,35.21118,129.00943,47,13395,0:17:36
2018-06-01 06:23:49,35.21109,129.00909,34,13395,0:17:33
2018-06-01 06:23:52,35.21106,129.00894,11,13395,0:17:30
2018-06-01 06:23:55,35.21106,129.00887,6,13395,0:17:27
2018-06-01 06:23:58,35.21105,129.00876,9,13395,0:17:24
2018-06-01 06:24:01,35.21105,129.00867,6,13395,0:17:21
2018-06-01 06:24:04,35.21104,129.00861,4,13395,0:17:18
2018-06-01 06:24:07,35.21103,129.00858,3,13395,0:17:15
2018-06-01 06:24:10,35.21103,129.0085,5,13395,0:17:12
2018-06-01 06:24:13,35.21098,129.00844,8,13395,0:17:09
2018-06-01 06:24:16,35.21092,129.00832,15,13395,0:17:06
2018-06-01 06:24:19,35.21081,129.008,27,13395,0:17:03
2018-06-01 06:24:22,35.21077,129.0076,37,13395,0:17:00
2018-06-01 06:24:25,35.21062,129.0071,48,13395,0:16:57
2018-06-01 06:24:28,35.21044,129.0065,56,13395,0:16:54
2018-06-01 06:24:31,35.21032,129.00591,59,13395,0:16:51
2018-06-01 06:24:34,35.21021,129.0054,51,13395,0:16:48
2018-06-01 06:24:37,35.21014,129.00485,56,13395,0:16:45
2018-06-01 06:24:40,35.21003,129.00444,45,13395,0:16:42
2018-06-01 06:24:43,35.20994,129.00401,46,13395,0:16:39
2018-06-01 06:24:46,35.20987,129.00371,34,13395,0:16:36
2018-06-01 06:24:49,35.20981,129.0034,34,13395,0:16:33
2018-06-01 06:24:52,35.20974,129.00305,28,13395,0:16:30
2018-06-01 06:24:55,35.20971,129.00285,16,13395,0:16:27
2018-06-01 06:24:58,35.2097,129.0027,10,13395,0:16:24
2018-06-01 06:25:01,35.20969,129.00266,0,13395,0:16:21
2018-06-01 06:25:04,35.20969,129.00264,0,13395,0:16:18
2018-06-01 06:25:07,35.20969,129.00264,0,13395,0:16:15
2018-06-01 06:25:10,35.20969,129.00262,0,13395,0:16:12
2018-06-01 06:25:13,35.20969,129.00262,0,13395,0:16:09
2018-06-01 06:25:16,35.20969,129.00262,0,13395,0:16:06
2018-06-01 06:25:19,35.20969,129.00262,0,13395,0:16:03
2018-06-01 06:25:22,35.20969,129.00261,0,13395,0:16:00
2018-06-01 06:25:25,35.20969,129.00261,0,13395,0:15:57
2018-06-01 06:25:28,35.20969,129.00261,0,13395,0:15:54
2018-06-01 06:25:31,35.20969,129.00261,0,13395,0:15:51
2018-06-01 06:25:34,35.20968,129.00261,0,13395,0:15:48
2018-06-01 06:25:37,35.20968,129.00255,11,13395,0:15:45
2018-06-01 06:25:40,35.20966,129.00241,18,13395,0:15:42
2018-06-01 06:25:43,35.20963,129.00218,26,13395,0:15:39
2018-06-01 06:25:46,35.2096,129.00188,33,13395,0:15:36
2018-06-01 06:25:49,35.20957,129.00153,38,13395,0:15:33
2018-06-01 06:25:52,35.20954,129.00117,36,13395,0:15:30
2018-06-01 06:25:55,35.20951,129.00081,38,13395,0:15:27
2018-06-01 06:25:58,35.20948,129.00047,36,13395,0:15:24
2018-06-01 06:26:01,35.20942,129.00011,42,13395,0:15:21
2018-06-01 06:26:04,35.20929,128.99973,45,13395,0:15:18
2018-06-01 06:26:07,35.20911,128.99933,49,13395,0:15:15
2018-06-01 06:26:10,35.20881,128.99896,52,13395,0:15:12
2018-06-01 06:26:13,35.20849,128.99863,54,13395,0:15:09
2018-06-01 06:26:16,35.20815,128.99829,58,13395,0:15:06
2018-06-01 06:26:19,35.20779,128.99794,58,13395,0:15:03
2018-06-01 06:26:22,35.20747,128.99762,49,13395,0:15:00
2018-06-01 06:26:25,35.20717,128.99733,48,13395,0:14:57
