get_date,lat,lng,speed,line_no,y
2018-05-01 05:48:09,35.19071,129.06055,0,13395,1:04:39
2018-05-01 05:48:12,35.19072,129.06055,0,13395,1:04:36
2018-05-01 05:48:15,35.19072,129.06055,1,13395,1:04:33
2018-05-01 05:48:18,35.19071,129.06055,0,13395,1:04:30
2018-05-01 05:48:21,35.19073,129.06055,0,13395,1:04:27
2018-05-01 05:48:24,35.19074,129.06055,0,13395,1:04:24
2018-05-01 05:48:27,35.19074,129.06055,0,13395,1:04:21
2018-05-01 05:48:30,35.19075,129.06055,0,13395,1:04:18
2018-05-01 05:48:33,35.19074,129.06055,0,13395,1:04:15
2018-05-01 05:48:36,35.19074,129.06053,0,13395,1:04:12
2018-05-01 05:48:39,35.19074,129.06053,0,13395,1:04:09
2018-05-01 05:48:42,35.19075,129.06055,0,13395,1:04:06
2018-05-01 05:48:45,35.19075,129.06055,0,13395,1:04:03
2018-05-01 05:48:48,35.19076,129.06055,0,13395,1:04:00
2018-05-01 05:48:51,35.19077,129.06055,0,13395,1:03:57
2018-05-01 05:48:54,35.19078,129.06055,1,13395,1:03:54
2018-05-01 05:48:57,35.1908,129.06055,2,13395,1:03:51
2018-05-01 05:49:00,35.19081,129.06056,0,13395,1:03:48
2018-05-01 05:49:03,35.19083,129.06056,0,13395,1:03:45
2018-05-01 05:49:06,35.19084,129.06056,0,13395,1:03:42
2018-05-01 05:49:09,35.19084,129.06056,1,13395,1:03:39
2018-05-01 05:49:12,35.19084,129.06056,0,13395,1:03:36
2018-05-01 05:49:15,35.19084,129.06056,0,13395,1:03:33
2018-05-01 05:49:18,35.19084,129.06056,0,13395,1:03:30
2018-05-01 05:49:21,35.19084,129.06055,0,13395,1:03:27
2018-05-01 05:49:24,35.19085,129.06055,0,13395,1:03:24
2018-05-01 05:49:27,35.19085,129.06055,0,13395,1:03:21
2018-05-01 05:49:30,35.19085,129.06055,1,13395,1:03:18
2018-05-01 05:49:33,35.19085,129.06055,0,13395,1:03:15
2018-05-01 05:49:36,35.19086,129.06055,0,13395,1:03:12
2018-05-01 05:49:39,35.19089,129.06055,0,13395,1:03:09
2018-05-01 05:49:42,35.19092,129.06055,0,13395,1:03:06
2018-05-01 05:49:45,35.19094,129.06055,0,13395,1:03:03
2018-05-01 05:49:48,35.19096,129.06056,0,13395,1:03:00
2018-05-01 05:49:51,35.19098,129.06056,0,13395,1:02:57
2018-05-01 05:49:54,35.19098,129.06056,0,13395,1:02:54
2018-05-01 05:49:57,35.19098,129.06055,0,13395,1:02:51
