get_date,lat,lng,speed,line_no,y
2018-11-01 06:21:41,35.21186,129.01202,32,13395,0:17:39
2018-11-01 06:21:44,35.21179,129.01173,31,13395,0:17:36
2018-11-01 06:21:47,35.21172,129.01147,29,13395,0:17:33
2018-11-01 06:21:50,35.21165,129.01118,35,13395,0:17:30
2018-11-01 06:21:53,35.21157,129.01082,39,13395,0:17:27
2018-11-01 06:21:56,35.21147,129.01045,40,13395,0:17:24
2018-11-01 06:21:59,35.21138,129.01009,40,13395,0:17:21
2018-11-01 06:22:02,35.21128,129.00974,39,13395,0:17:18
2018-11-01 06:22:05,35.21118,129.0094,35,13395,0:17:15
2018-11-01 06:22:08,35.21109,129.00909,33,13395,0:17:12
2018-11-01 06:22:11,35.21104,129.00882,28,13395,0:17:09
2018-11-01 06:22:14,35.21099,129.00861,24,13395,0:17:06
2018-11-01 06:22:17,35.21096,129.00842,20,13395,0:17:03
2018-11-01 06:22:20,35.21091,129.0083,13,13395,0:17:00
2018-11-01 06:22:23,35.21087,129.00819,13,13395,0:16:57
2018-11-01 06:22:26,35.21082,129.00804,17,13395,0:16:54
2018-11-01 06:22:29,35.21077,129.00786,23,13395,0:16:51
2018-11-01 06:22:32,35.21072,129.00763,25,13395,0:16:48
2018-11-01 06:22:35,35.21065,129.00732,33,13395,0:16:45
2018-11-01 06:22:38,35.21057,129.007,36,13395,0:16:42
2018-11-01 06:22:41,35.21046,129.00667,36,13395,0:16:39
2018-11-01 06:22:44,35.21036,129.00633,35,13395,0:16:36
2018-11-01 06:22:47,35.21027,129.00601,33,13395,0:16:33
2018-11-01 06:22:50,35.21022,129.00571,30,13395,0:16:30
2018-11-01 06:22:53,35.21016,129.00545,25,13395,0:16:27
2018-11-01 06:22:56,35.21011,129.00529,14,13395,0:16:24
2018-11-01 06:22:59,35.21001,129.00519,17,13395,0:16:21
2018-11-01 06:23:02,35.20993,129.00504,20,13395,0:16:18
2018-11-01 06:23:05,35.20988,129.00482,27,13395,0:16:15
2018-11-01 06:23:08,35.2098,129.00453,34,13395,0:16:12
2018-11-01 06:23:11,35.20972,129.00418,36,13395,0:16:09
2018-11-01 06:23:14,35.20969,129.00381,32,13395,0:16:06
2018-11-01 06:23:17,35.20967,129.00349,28,13395,0:16:03
2018-11-01 06:23:20,35.20964,129.00325,25,13395,0:16:00
2018-11-01 06:23:23,35.20962,129.00304,19,13395,0:15:57
2018-11-01 06:23:26,35.20961,129.00288,13,13395,0:15:54
2018-11-01 06:23:29,35.2096,129.00278,7,13395,0:15:51
2018-11-01 06:23:32,35.20961,129.00272,4,13395,0:15:48
2018-11-01 06:23:35,35.20962,129.0027,0,13395,0:15:45
2018-11-01 06:23:38,35.20963,129.0027,1,13395,0:15:42
2018-11-01 06:23:41,35.20964,129.00267,3,13395,0:15:39
2018-11-01 06:23:44,35.20965,129.00261,6,13395,0:15:36
2018-11-01 06:23:47,35.20964,129.00255,5,13395,0:15:33
2018-11-01 06:23:50,35.20963,129.00253,0,13395,0:15:30
2018-11-01 06:23:53,35.20963,129.00253,0,13395,0:15:27
2018-11-01 06:23:56,35.20962,129.00253,0,13395,0:15:24
2018-11-01 06:23:59,35.20962,129.00253,0,13395,0:15:21
2018-11-01 06:24:02,35.20962,129.00253,0,13395,0:15:18
2018-11-01 06:24:05,35.20962,129.00252,1,13395,0:15:15
2018-11-01 06:24:08,35.20961,129.00244,14,13395,0:15:12
2018-11-01 06:24:11,35.20959,129.00226,23,13395,0:15:09
2018-11-01 06:24:14,35.20958,129.00201,27,13395,0:15:06
2018-11-01 06:24:17,35.20955,129.00166,40,13395,0:15:03
2018-11-01 06:24:20,35.20952,129.00125,44,13395,0:15:00
2018-11-01 06:24:23,35.20948,129.00082,47,13395,0:14:57
2018-11-01 06:24:26,35.20943,129.00035,50,13395,0:14:54
2018-11-01 06:24:29,35.20932,128.99992,45,13395,0:14:51
