get_date,lat,lng,speed,line_no,y
2018-01-04 06:24:05,35.21171,129.01183,35,13395,0:20:39
2018-01-04 06:24:08,35.2116,129.01144,33,13395,0:20:36
2018-01-04 06:24:11,35.21154,129.01114,26,13395,0:20:33
2018-01-04 06:24:14,35.21147,129.01096,19,13395,0:20:30
2018-01-04 06:24:17,35.21148,129.0108,12,13395,0:20:27
2018-01-04 06:24:20,35.21146,129.01067,0,13395,0:20:24
2018-01-04 06:24:23,35.21144,129.01053,0,13395,0:20:21
2018-01-04 06:24:26,35.21145,129.01045,0,13395,0:20:18
2018-01-04 06:24:29,35.21146,129.01042,0,13395,0:20:15
2018-01-04 06:24:32,35.21146,129.01041,0,13395,0:20:12
2018-01-04 06:24:35,35.21146,129.01039,0,13395,0:20:09
2018-01-04 06:24:38,35.21147,129.01038,0,13395,0:20:06
2018-01-04 06:24:41,35.21147,129.01038,0,13395,0:20:03
2018-01-04 06:24:44,35.21146,129.01038,0,13395,0:20:00
2018-01-04 06:24:47,35.21146,129.01035,7,13395,0:19:57
2018-01-04 06:24:50,35.21143,129.01024,17,13395,0:19:54
2018-01-04 06:24:53,35.21133,129.01006,24,13395,0:19:51
2018-01-04 06:24:56,35.21127,129.00978,34,13395,0:19:48
2018-01-04 06:24:59,35.21114,129.00943,40,13395,0:19:45
2018-01-04 06:25:02,35.21106,129.00903,43,13395,0:19:42
2018-01-04 06:25:05,35.21095,129.00864,42,13395,0:19:39
2018-01-04 06:25:08,35.21088,129.0083,34,13395,0:19:36
2018-01-04 06:25:11,35.21079,129.00803,30,13395,0:19:33
2018-01-04 06:25:14,35.21072,129.00783,22,13395,0:19:30
2018-01-04 06:25:17,35.2107,129.00772,11,13395,0:19:27
2018-01-04 06:25:20,35.21071,129.00774,0,13395,0:19:24
2018-01-04 06:25:23,35.21073,129.00771,0,13395,0:19:21
2018-01-04 06:25:26,35.21072,129.00769,0,13395,0:19:18
2018-01-04 06:25:29,35.21072,129.00769,1,13395,0:19:15
2018-01-04 06:25:32,35.21069,129.00764,7,13395,0:19:12
2018-01-04 06:25:35,35.2107,129.00758,9,13395,0:19:09
2018-01-04 06:25:38,35.2106,129.00732,28,13395,0:19:06
2018-01-04 06:25:41,35.21048,129.00703,32,13395,0:19:03
2018-01-04 06:25:44,35.21038,129.0067,37,13395,0:19:00
2018-01-04 06:25:47,35.2103,129.00633,39,13395,0:18:57
2018-01-04 06:25:50,35.21022,129.00597,36,13395,0:18:54
2018-01-04 06:25:53,35.21016,129.00562,36,13395,0:18:51
2018-01-04 06:25:56,35.21006,129.00533,32,13395,0:18:48
2018-01-04 06:25:59,35.20998,129.00505,29,13395,0:18:45
2018-01-04 06:26:02,35.20993,129.0047,31,13395,0:18:42
2018-01-04 06:26:05,35.20986,129.00447,22,13395,0:18:39
2018-01-04 06:26:08,35.2098,129.00424,22,13395,0:18:36
2018-01-04 06:26:11,35.20978,129.004,20,13395,0:18:33
2018-01-04 06:26:14,35.20974,129.0038,22,13395,0:18:30
2018-01-04 06:26:17,35.20971,129.00356,26,13395,0:18:27
2018-01-04 06:26:20,35.20967,129.0033,25,13395,0:18:24
2018-01-04 06:26:23,35.20962,129.00299,29,13395,0:18:21
2018-01-04 06:26:26,35.20959,129.00264,33,13395,0:18:18
2018-01-04 06:26:50,35.20949,129.00072,3,13395,0:17:54
2018-01-04 06:26:53,35.20949,129.0006,0,13395,0:17:51
2018-01-04 06:26:56,35.20948,129.00058,0,13395,0:17:48
2018-01-04 06:26:59,35.20948,129.00058,0,13395,0:17:45
2018-01-04 06:27:02,35.20948,129.00058,0,13395,0:17:42
2018-01-04 06:27:05,35.20949,129.00058,0,13395,0:17:39
