get_date,lat,lng,speed,line_no,y,dist
2018-01-03 6:24,35.21171,129.01193,19,13395,0:20:21,0
2018-01-03 6:24,35.21167,129.01175,22,13395,0:20:18,0.016952276
2018-01-03 6:24,35.21163,129.01158,23,13395,0:20:15,0.033029408
2018-01-03 6:24,35.21161,129.01137,20,13395,0:20:12,0.052242983
2018-01-03 6:24,35.21157,129.01125,12,13395,0:20:09,0.064021013
2018-01-03 6:24,35.21157,129.01111,6,13395,0:20:06,0.076743925
2018-01-03 6:24,35.21157,129.011,3,13395,0:20:03,0.086740499
2018-01-03 6:24,35.21155,129.01091,3,13395,0:20:00,0.095216649
2018-01-03 6:24,35.21152,129.01082,10,13395,0:19:57,0.104050177
2018-01-03 6:24,35.21146,129.01071,18,13395,0:19:54,0.116069792
2018-01-03 6:24,35.2114,129.01045,25,13395,0:19:51,0.140622517
2018-01-03 6:24,35.2113,129.0101,36,13395,0:19:48,0.174318648
2018-01-03 6:24,35.2112,129.00972,40,13395,0:19:45,0.21059951
2018-01-03 6:25,35.2111,129.00929,42,13395,0:19:42,0.251229409
2018-01-03 6:25,35.21099,129.00885,45,13395,0:19:39,0.293045991
2018-01-03 6:25,35.21088,129.00845,40,13395,0:19:36,0.331401315
2018-01-03 6:25,35.21082,129.00818,26,13395,0:19:33,0.356829973
2018-01-03 6:25,35.21075,129.00803,12,13395,0:19:30,0.372528692
2018-01-03 6:25,35.21075,129.00797,0,13395,0:19:27,0.377981424
2018-01-03 6:25,35.21075,129.00792,0,13395,0:19:24,0.382525367
2018-01-03 6:25,35.21075,129.0079,0,13395,0:19:21,0.384342944
2018-01-03 6:25,35.21077,129.00787,0,13395,0:19:18,0.387861736
2018-01-03 6:25,35.21077,129.00786,0,13395,0:19:15,0.388770525
2018-01-03 6:25,35.21077,129.00787,3,13395,0:19:12,0.389679313
2018-01-03 6:25,35.21074,129.00781,8,13395,0:19:09,0.396072055
2018-01-03 6:25,35.21073,129.00771,13,13395,0:19:06,0.405227758
2018-01-03 6:25,35.2107,129.00751,21,13395,0:19:03,0.42370731
2018-01-03 6:25,35.21056,129.00716,38,13395,0:19:00,0.459122267
2018-01-03 6:25,35.21043,129.00681,40,13395,0:18:57,0.494062471
2018-01-03 6:25,35.21033,129.00635,48,13395,0:18:54,0.537321391
2018-01-03 6:25,35.21026,129.00587,48,13395,0:18:51,0.581632908
2018-01-03 6:25,35.21015,129.00542,46,13395,0:18:48,0.624319737
2018-01-03 6:25,35.21004,129.00502,43,13395,0:18:45,0.662675417
2018-01-03 6:26,35.20994,129.00461,42,13395,0:18:42,0.701560878
2018-01-03 6:26,35.20984,129.0042,43,13395,0:18:39,0.740446384
2018-01-03 6:26,35.20977,129.0038,41,13395,0:18:36,0.777622837
2018-01-03 6:26,35.2097,129.00336,46,13395,0:18:33,0.818361015
2018-01-03 6:26,35.20966,129.00287,50,13395,0:18:30,0.863113955
2018-01-03 6:26,35.20963,129.00237,52,13395,0:18:27,0.908676361
2018-01-03 6:26,35.20959,129.00175,58,13395,0:18:24,0.965197432
2018-01-03 6:26,35.20956,129.00119,55,13395,0:18:21,1.016199607
2018-01-03 6:26,35.20952,129.00075,41,13395,0:18:18,1.05643366
2018-01-03 6:26,35.20949,129.00046,21,13395,0:18:15,1.082999339
2018-01-03 6:26,35.20947,129.00037,2,13395,0:18:12,1.091475692
2018-01-03 6:26,35.20946,129.00034,0,13395,0:18:09,1.094420265
2018-01-03 6:26,35.20945,129.00031,0,13395,0:18:06,1.097364839
2018-01-03 6:26,35.20945,129.00031,0,13395,0:18:03,1.097364839
2018-01-03 6:26,35.20945,129.00029,0,13395,0:18:00,1.099182446
2018-01-03 6:26,35.20945,129.00027,0,13395,0:17:57,1.101000052
2018-01-03 6:26,35.20944,129.00024,0,13395,0:17:54,1.103944626
2018-01-03 6:26,35.20944,129.00023,0,13395,0:17:51,1.104853429
2018-01-03 6:26,35.20944,129.00021,0,13395,0:17:48,1.106671036
2018-01-03 6:26,35.20944,129.0002,0,13395,0:17:45,1.107579839
2018-01-03 6:27,35.20945,129.00018,0,13395,0:17:42,1.109710778
2018-01-03 6:27,35.20945,129.00017,1,13395,0:17:39,1.110619581
2018-01-03 6:27,35.20942,129.00012,6,13395,0:17:36,1.116257218
2018-01-03 6:27,35.2094,129.00008,7,13395,0:17:33,1.120519098
2018-01-03 6:27,35.20939,129.00002,2,13395,0:17:30,1.12608421
2018-01-03 6:27,35.20938,129.00002,0,13395,0:17:27,1.127196509
2018-01-03 6:27,35.20937,128.99995,10,13395,0:17:24,1.133654644
2018-01-03 6:27,35.20933,128.99983,15,13395,0:17:21,1.145432953
2018-01-03 6:27,35.20926,128.99966,22,13395,0:17:18,1.162733701
2018-01-03 6:27,35.20917,128.99944,29,13395,0:17:15,1.185093552
2018-01-03 6:27,35.20901,128.99915,38,13395,0:17:12,1.216895009
2018-01-03 6:27,35.20879,128.99887,41,13395,0:17:09,1.252198564
2018-01-03 6:27,35.2085,128.99857,51,13395,0:17:06,1.29443406
2018-01-03 6:27,35.20818,128.99825,52,13395,0:17:03,1.340397839
