line_no,inout_type,stop_no,seq,stop_name,x,y,get_date,input_date
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0142212,35.21242142,2018-01-01 06:10:20,2018-01-01 06:10:35
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0120697,35.21184158,2018-01-01 06:23:20,2018-01-01 06:23:26
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9352417,35.16744995,2018-01-01 06:40:53,2018-01-01 06:40:57
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354248,35.16920853,2018-01-01 06:41:14,2018-01-01 06:41:23
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9345551,35.17596054,2018-01-01 06:42:17,2018-01-01 06:42:23
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9333344,35.17724991,2018-01-01 06:43:20,2018-01-01 06:43:26
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0144348,35.21234894,2018-01-02 06:19:45,2018-01-02 06:19:53
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0123901,35.21187973,2018-01-02 06:23:45,2018-01-02 06:23:53
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9352264,35.16741943,2018-01-02 06:44:15,2018-01-02 06:44:23
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354095,35.16939926,2018-01-02 06:44:36,2018-01-02 06:44:44
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346161,35.17578888,2018-01-02 06:48:30,2018-01-02 06:48:40
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.933548,35.17720032,2018-01-02 06:49:30,2018-01-02 06:49:38
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.014328,35.21232986,2018-01-03 06:20:05,2018-01-03 06:20:14
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.012146,35.21176147,2018-01-03 06:24:20,2018-01-03 06:24:27
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9352875,35.1674881,2018-01-03 06:44:23,2018-01-03 06:44:26
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354248,35.16931915,2018-01-03 06:44:44,2018-01-03 06:44:52
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346161,35.1758194,2018-01-03 06:47:29,2018-01-03 06:47:34
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9333191,35.17726898,2018-01-03 06:48:32,2018-01-03 06:48:40
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0145111,35.21231842,2018-01-04 06:20:20,2018-01-04 06:20:28
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0121918,35.21181107,2018-01-04 06:24:02,2018-01-04 06:24:10
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9353027,35.16749954,2018-01-04 06:44:26,2018-01-04 06:44:33
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354553,35.16902161,2018-01-04 06:44:44,2018-01-04 06:44:54
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346161,35.17578125,2018-01-04 06:48:56,2018-01-04 06:49:03
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9333649,35.17724991,2018-01-04 06:50:02,2018-01-04 06:50:06
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0143585,35.21228027,2018-01-05 06:20:43,2018-01-05 06:20:48
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0122375,35.21186829,2018-01-05 06:23:37,2018-01-05 06:23:45
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9351501,35.16730881,2018-01-05 06:43:16,2018-01-05 06:43:24
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354401,35.16917038,2018-01-05 06:43:37,2018-01-05 06:43:45
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346161,35.1758194,2018-01-05 06:46:25,2018-01-05 06:46:35
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9334564,35.17721939,2018-01-05 06:47:25,2018-01-05 06:47:33
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.014328,35.21236038,2018-01-08 06:19:38,2018-01-08 06:19:44
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0121918,35.21184921,2018-01-08 06:24:11,2018-01-08 06:24:18
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9352112,35.16738892,2018-01-08 06:43:59,2018-01-08 06:44:06
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354248,35.16923904,2018-01-08 06:44:23,2018-01-08 06:44:27
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346008,35.1758194,2018-01-08 06:47:32,2018-01-08 06:47:41
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9333038,35.17726898,2018-01-08 06:48:26,2018-01-08 06:48:36
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0142975,35.21236038,2018-01-09 06:19:56,2018-01-09 06:20:02
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0123901,35.21192932,2018-01-09 06:23:59,2018-01-09 06:24:09
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9352264,35.16738892,2018-01-09 06:43:44,2018-01-09 06:43:51
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354401,35.16913986,2018-01-09 06:44:05,2018-01-09 06:44:12
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346008,35.17578125,2018-01-09 06:47:41,2018-01-09 06:47:47
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9333954,35.17724991,2018-01-09 06:48:32,2018-01-09 06:48:37
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0143738,35.21239853,2018-01-10 06:19:48,2018-01-10 06:19:55
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0120392,35.2118187,2018-01-10 06:23:36,2018-01-10 06:23:45
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9352112,35.16736984,2018-01-10 06:43:51,2018-01-10 06:44:00
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354248,35.16930008,2018-01-10 06:44:12,2018-01-10 06:44:16
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346008,35.17578888,2018-01-10 06:47:51,2018-01-10 06:47:59
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9335632,35.17718887,2018-01-10 06:48:51,2018-01-10 06:49:02
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0142975,35.21231079,2018-01-11 06:19:48,2018-01-11 06:19:55
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0120544,35.21176147,2018-01-11 06:23:15,2018-01-11 06:23:25
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9352875,35.16748047,2018-01-11 06:43:45,2018-01-11 06:43:53
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354553,35.16909027,2018-01-11 06:44:03,2018-01-11 06:44:06
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346313,35.17581177,2018-01-11 06:46:51,2018-01-11 06:46:57
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9334259,35.17723083,2018-01-11 06:47:54,2018-01-11 06:48:05
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0144958,35.21240997,2018-01-12 06:19:51,2018-01-12 06:19:59
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0124359,35.21187973,2018-01-12 06:23:48,2018-01-12 06:23:58
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.935257,35.16743851,2018-01-12 06:44:00,2018-01-12 06:44:05
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354401,35.16913986,2018-01-12 06:44:18,2018-01-12 06:44:23
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346161,35.17584991,2018-01-12 06:48:12,2018-01-12 06:48:19
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9335632,35.17718887,2018-01-12 06:51:12,2018-01-12 06:51:24
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0143738,35.21239853,2018-01-15 06:20:08,2018-01-15 06:20:16
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0120392,35.21183014,2018-01-15 06:23:23,2018-01-15 06:23:37
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.935257,35.16741943,2018-01-15 06:40:38,2018-01-15 06:40:43
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354706,35.1690712,2018-01-15 06:40:56,2018-01-15 06:41:04
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346008,35.17578125,2018-01-15 06:42:02,2018-01-15 06:42:09
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9333191,35.17724991,2018-01-15 06:42:47,2018-01-15 06:42:56
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0144196,35.21236038,2018-01-16 06:20:23,2018-01-16 06:20:29
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0123444,35.21186829,2018-01-16 06:23:41,2018-01-16 06:23:45
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9352112,35.16736984,2018-01-16 06:43:38,2018-01-16 06:43:41
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354553,35.16913986,2018-01-16 06:43:56,2018-01-16 06:44:02
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346008,35.17578888,2018-01-16 06:47:41,2018-01-16 06:47:50
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9332275,35.1772995,2018-01-16 06:48:35,2018-01-16 06:48:45
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0138702,35.21229172,2018-01-17 06:19:50,2018-01-17 06:20:08
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.012207,35.21189117,2018-01-17 06:24:11,2018-01-17 06:24:17
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9352264,35.16738129,2018-01-17 06:44:05,2018-01-17 06:44:13
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354706,35.16904068,2018-01-17 06:44:23,2018-01-17 06:44:29
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9345856,35.17580032,2018-01-17 06:47:23,2018-01-17 06:47:30
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9333801,35.17723083,2018-01-17 06:48:20,2018-01-17 06:48:30
13395,ENTERED,131830,1,덕천사원A.숙등역4번출구,129.0144653,35.21237946,2018-01-18 06:19:52,2018-01-18 06:19:58
13395,LEFT,131830,1,덕천사원A.숙등역4번출구,129.0122681,35.21183014,2018-01-18 06:23:34,2018-01-18 06:23:41
13395,ENTERED,131831,2,[종착알림] 대저농협 산지유통센터,128.9351959,35.16736984,2018-01-18 06:44:07,2018-01-18 06:44:15
13395,LEFT,131831,2,[종착알림] 대저농협 산지유통센터,128.9354401,35.16917038,2018-01-18 06:44:28,2018-01-18 06:44:31
13395,ENTERED,131833,3,[종점] 대한항공테크센터 정문,128.9346008,35.17581177,2018-01-18 06:45:52,2018-01-18 06:45:58
13395,LEFT_LAST,131833,3,[종점] 대한항공테크센터 정문,128.9334412,35.17721939,2018-01-18 06:46:49,2018-01-18 06:46:58
