get_date,lat,lng,speed,line_no,y
2018-04-02 06:23:29,35.21177,129.01166,31,13395,0:19:24
2018-04-02 06:23:32,35.21169,129.01137,31,13395,0:19:21
2018-04-02 06:23:35,35.21161,129.01109,32,13395,0:19:18
2018-04-02 06:23:38,35.21155,129.0108,31,13395,0:19:15
2018-04-02 06:23:41,35.21148,129.0105,32,13395,0:19:12
2018-04-02 06:23:44,35.21139,129.01019,34,13395,0:19:09
2018-04-02 06:23:47,35.21131,129.00986,36,13395,0:19:06
2018-04-02 06:23:50,35.21122,129.00952,37,13395,0:19:03
2018-04-02 06:23:53,35.21113,129.00917,38,13395,0:19:00
2018-04-02 06:23:56,35.21105,129.00887,31,13395,0:18:57
2018-04-02 06:23:59,35.21098,129.00859,27,13395,0:18:54
2018-04-02 06:24:02,35.21091,129.00839,20,13395,0:18:51
2018-04-02 06:24:05,35.21086,129.00826,19,13395,0:18:48
2018-04-02 06:24:08,35.2108,129.00801,25,13395,0:18:45
2018-04-02 06:24:11,35.21071,129.00774,30,13395,0:18:42
2018-04-02 06:24:14,35.21068,129.00743,28,13395,0:18:39
2018-04-02 06:24:17,35.2107,129.00722,19,13395,0:18:36
2018-04-02 06:24:20,35.21064,129.00697,25,13395,0:18:33
2018-04-02 06:24:23,35.21057,129.00667,31,13395,0:18:30
2018-04-02 06:24:26,35.21046,129.0063,37,13395,0:18:27
2018-04-02 06:24:29,35.21038,129.00595,35,13395,0:18:24
2018-04-02 06:24:32,35.21034,129.00562,32,13395,0:18:21
2018-04-02 06:24:35,35.21027,129.00528,33,13395,0:18:18
2018-04-02 06:24:38,35.21021,129.005,26,13395,0:18:15
2018-04-02 06:24:41,35.21014,129.00475,25,13395,0:18:12
2018-04-02 06:24:44,35.21011,129.00458,16,13395,0:18:09
2018-04-02 06:24:47,35.21012,129.00444,14,13395,0:18:06
2018-04-02 06:24:50,35.21009,129.00436,5,13395,0:18:03
2018-04-02 06:24:53,35.21006,129.00432,3,13395,0:18:00
2018-04-02 06:24:56,35.21002,129.00426,4,13395,0:17:57
2018-04-02 06:24:59,35.21002,129.00418,8,13395,0:17:54
2018-04-02 06:25:02,35.20996,129.00409,9,13395,0:17:51
2018-04-02 06:25:05,35.20988,129.00394,15,13395,0:17:48
2018-04-02 06:25:08,35.20981,129.00377,16,13395,0:17:45
2018-04-02 06:25:11,35.20977,129.00363,15,13395,0:17:42
2018-04-02 06:25:14,35.20973,129.00351,10,13395,0:17:39
2018-04-02 06:25:17,35.20971,129.00346,2,13395,0:17:36
2018-04-02 06:25:20,35.20971,129.00343,0,13395,0:17:33
2018-04-02 06:25:23,35.2097,129.00343,0,13395,0:17:30
2018-04-02 06:25:26,35.20969,129.00339,6,13395,0:17:27
2018-04-02 06:25:29,35.20967,129.00325,16,13395,0:17:24
2018-04-02 06:25:32,35.20962,129.00305,25,13395,0:17:21
2018-04-02 06:25:35,35.20958,129.00278,31,13395,0:17:18
2018-04-02 06:25:38,35.20956,129.00244,34,13395,0:17:15
2018-04-02 06:25:41,35.20956,129.00211,36,13395,0:17:12
2018-04-02 06:25:44,35.20954,129.00169,46,13395,0:17:09
2018-04-02 06:25:47,35.20952,129.00127,47,13395,0:17:06
2018-04-02 06:25:50,35.20949,129.00081,47,13395,0:17:03
2018-04-02 06:25:53,35.20943,129.00037,47,13395,0:17:00
2018-04-02 06:25:56,35.20932,128.99994,48,13395,0:16:57
2018-04-02 06:25:59,35.20914,128.99953,46,13395,0:16:54
2018-04-02 06:26:02,35.20896,128.99919,40,13395,0:16:51
2018-04-02 06:26:05,35.20874,128.9989,41,13395,0:16:48
2018-04-02 06:26:08,35.20849,128.99864,44,13395,0:16:45
2018-04-02 06:26:11,35.20819,128.99834,52,13395,0:16:42
2018-04-02 06:26:14,35.20788,128.99802,52,13395,0:16:39
2018-04-02 06:26:17,35.20756,128.9977,53,13395,0:16:36
2018-04-02 06:26:20,35.20723,128.99738,52,13395,0:16:33
2018-04-02 06:26:23,35.20694,128.99707,50,13395,0:16:30
2018-04-02 06:26:26,35.20665,128.99678,46,13395,0:16:27
2018-04-02 06:26:29,35.20638,128.99651,45,13395,0:16:24
2018-04-02 06:26:32,35.20613,128.99622,45,13395,0:16:21
2018-04-02 06:26:35,35.20587,128.99586,50,13395,0:16:18
2018-04-02 06:26:38,35.20557,128.99553,54,13395,0:16:15
2018-04-02 06:26:41,35.20525,128.99518,55,13395,0:16:12
2018-04-02 06:26:44,35.20493,128.99483,56,13395,0:16:09
2018-04-02 06:26:47,35.20465,128.99452,45,13395,0:16:06
2018-04-02 06:26:50,35.20445,128.99426,33,13395,0:16:03
2018-04-02 06:26:53,35.20435,128.99402,28,13395,0:16:00
2018-04-02 06:26:56,35.20435,128.99373,32,13395,0:15:57
2018-04-02 06:26:59,35.20446,128.99341,39,13395,0:15:54
2018-04-02 06:27:02,35.20465,128.99309,42,13395,0:15:51
2018-04-02 06:27:05,35.20487,128.99272,52,13395,0:15:48
2018-04-02 06:27:08,35.20514,128.99231,57,13395,0:15:45
2018-04-02 06:27:11,35.20545,128.99184,68,13395,0:15:42
2018-04-02 06:27:14,35.2058,128.99132,74,13395,0:15:39
2018-04-02 06:27:17,35.20618,128.99075,80,13395,0:15:36
2018-04-02 06:27:20,35.20658,128.99016,83,13395,0:15:33
2018-04-02 06:27:23,35.20699,128.98953,85,13395,0:15:30
2018-04-02 06:27:26,35.20741,128.98891,84,13395,0:15:27
2018-04-02 06:27:29,35.20781,128.98833,78,13395,0:15:24
2018-04-02 06:27:32,35.20819,128.98776,76,13395,0:15:21
2018-04-02 06:27:35,35.20856,128.9872,76,13395,0:15:18
2018-04-02 06:27:38,35.20891,128.98668,66,13395,0:15:15
2018-04-02 06:27:41,35.20923,128.98619,67,13395,0:15:12
2018-04-02 06:27:44,35.20958,128.9857,69,13395,0:15:09
2018-04-02 06:27:47,35.20992,128.98521,67,13395,0:15:06
2018-04-02 06:27:50,35.21024,128.98474,63,13395,0:15:03
2018-04-02 06:27:53,35.2105,128.98424,62,13395,0:15:00
2018-04-02 06:27:56,35.21071,128.9837,64,13395,0:14:57
2018-04-02 06:27:59,35.21087,128.98312,64,13395,0:14:54
2018-04-02 06:28:02,35.21095,128.98254,60,13395,0:14:51
2018-04-02 06:28:05,35.21102,128.98195,63,13395,0:14:48
2018-04-02 06:28:08,35.21108,128.9814,58,13395,0:14:45
2018-04-02 06:28:11,35.21114,128.98091,47,13395,0:14:42
