get_date,lat,lng,speed,line_no,y
2018-09-06 06:23:14,35.21177,129.01204,33,13395,0:18:15
2018-09-06 06:23:17,35.2117,129.01176,27,13395,0:18:12
2018-09-06 06:23:20,35.21165,129.01149,31,13395,0:18:09
2018-09-06 06:23:23,35.21159,129.01123,25,13395,0:18:06
2018-09-06 06:23:26,35.21154,129.01102,21,13395,0:18:03
2018-09-06 06:23:29,35.21149,129.01083,22,13395,0:18:00
2018-09-06 06:23:32,35.21145,129.01059,28,13395,0:17:57
2018-09-06 06:23:35,35.21139,129.01031,31,13395,0:17:54
2018-09-06 06:23:38,35.21132,129.01004,29,13395,0:17:51
2018-09-06 06:23:41,35.21125,129.00978,29,13395,0:17:48
2018-09-06 06:23:44,35.21115,129.00948,37,13395,0:17:45
2018-09-06 06:23:47,35.21106,129.00909,43,13395,0:17:42
2018-09-06 06:23:50,35.21098,129.00871,37,13395,0:17:39
2018-09-06 06:23:53,35.2109,129.00841,31,13395,0:17:36
2018-09-06 06:23:56,35.21084,129.00818,22,13395,0:17:33
2018-09-06 06:23:59,35.21079,129.00803,15,13395,0:17:30
2018-09-06 06:24:02,35.21077,129.00793,4,13395,0:17:27
2018-09-06 06:24:05,35.21078,129.0079,1,13395,0:17:24
2018-09-06 06:24:08,35.21075,129.00783,12,13395,0:17:21
2018-09-06 06:24:11,35.21072,129.00768,18,13395,0:17:18
2018-09-06 06:24:14,35.21067,129.00743,28,13395,0:17:15
2018-09-06 06:24:17,35.21061,129.00711,38,13395,0:17:12
2018-09-06 06:24:20,35.21051,129.00673,43,13395,0:17:09
2018-09-06 06:24:23,35.2104,129.00632,46,13395,0:17:06
2018-09-06 06:24:26,35.21029,129.00589,47,13395,0:17:03
2018-09-06 06:24:29,35.2102,129.00548,43,13395,0:17:00
2018-09-06 06:24:32,35.21012,129.00508,42,13395,0:16:57
2018-09-06 06:24:35,35.21002,129.00471,40,13395,0:16:54
2018-09-06 06:24:38,35.20991,129.0043,42,13395,0:16:51
2018-09-06 06:24:41,35.20981,129.00395,37,13395,0:16:48
2018-09-06 06:24:44,35.20975,129.0036,37,13395,0:16:45
2018-09-06 06:24:47,35.20969,129.00322,42,13395,0:16:42
2018-09-06 06:24:50,35.20965,129.00282,43,13395,0:16:39
2018-09-06 06:24:53,35.20962,129.00241,45,13395,0:16:36
2018-09-06 06:24:56,35.20958,129.00197,49,13395,0:16:33
2018-09-06 06:24:59,35.20956,129.0015,48,13395,0:16:30
2018-09-06 06:25:02,35.20953,129.0011,38,13395,0:16:27
2018-09-06 06:25:05,35.20951,129.00081,26,13395,0:16:24
2018-09-06 06:25:08,35.20949,129.0006,20,13395,0:16:21
2018-09-06 06:25:11,35.20947,129.00044,13,13395,0:16:18
2018-09-06 06:25:14,35.20946,129.00035,8,13395,0:16:15
2018-09-06 06:25:17,35.20944,129.00029,5,13395,0:16:12
2018-09-06 06:25:20,35.20944,129.00024,0,13395,0:16:09
2018-09-06 06:25:23,35.20945,129.00024,0,13395,0:16:06
2018-09-06 06:25:26,35.20945,129.00024,0,13395,0:16:03
2018-09-06 06:25:29,35.20945,129.00023,0,13395,0:16:00
2018-09-06 06:25:32,35.20946,129.00021,0,13395,0:15:57
2018-09-06 06:25:35,35.20946,129.0002,0,13395,0:15:54
2018-09-06 06:25:38,35.20945,129.0002,0,13395,0:15:51
2018-09-06 06:25:41,35.20945,129.00018,0,13395,0:15:48
2018-09-06 06:25:44,35.20945,129.00018,1,13395,0:15:45
2018-09-06 06:25:47,35.20945,129.00017,2,13395,0:15:42
2018-09-06 06:25:50,35.20944,129.00014,3,13395,0:15:39
2018-09-06 06:25:53,35.20941,129.00003,15,13395,0:15:36
2018-09-06 06:25:56,35.20937,128.99988,22,13395,0:15:33
2018-09-06 06:25:59,35.20928,128.99963,29,13395,0:15:30
2018-09-06 06:26:02,35.20914,128.99934,39,13395,0:15:27
2018-09-06 06:26:05,35.20892,128.99902,46,13395,0:15:24
2018-09-06 06:26:08,35.20863,128.9987,51,13395,0:15:21
2018-09-06 06:26:11,35.20831,128.99838,54,13395,0:15:18
2018-09-06 06:26:14,35.20798,128.99805,54,13395,0:15:15
2018-09-06 06:26:17,35.20768,128.99776,46,13395,0:15:12
2018-09-06 06:26:20,35.20743,128.99751,38,13395,0:15:09
2018-09-06 06:26:23,35.20719,128.99728,41,13395,0:15:06
2018-09-06 06:26:26,35.20692,128.99701,47,13395,0:15:03
2018-09-06 06:26:29,35.20662,128.99672,49,13395,0:15:00
2018-09-06 06:26:32,35.20634,128.99643,45,13395,0:14:57
2018-09-06 06:26:35,35.20607,128.99614,49,13395,0:14:54
2018-09-06 06:26:38,35.2058,128.99577,53,13395,0:14:51
2018-09-06 06:26:41,35.20551,128.99544,47,13395,0:14:48
2018-09-06 06:26:44,35.20525,128.99515,42,13395,0:14:45
2018-09-06 06:26:47,35.20502,128.99492,35,13395,0:14:42
2018-09-06 06:26:50,35.20483,128.99471,33,13395,0:14:39
2018-09-06 06:26:53,35.20462,128.99446,39,13395,0:14:36
2018-09-06 06:26:56,35.20443,128.99419,38,13395,0:14:33
2018-09-06 06:26:59,35.20435,128.99385,36,13395,0:14:30
2018-09-06 06:27:02,35.20442,128.99352,39,13395,0:14:27
2018-09-06 06:27:05,35.20459,128.99318,46,13395,0:14:24
2018-09-06 06:27:08,35.20482,128.99281,50,13395,0:14:21
2018-09-06 06:27:11,35.20509,128.9924,59,13395,0:14:18
2018-09-06 06:27:14,35.20541,128.99193,68,13395,0:14:15
2018-09-06 06:27:17,35.20575,128.99144,71,13395,0:14:12
2018-09-06 06:27:20,35.20612,128.99089,76,13395,0:14:09
2018-09-06 06:27:23,35.2065,128.99033,78,13395,0:14:06
2018-09-06 06:27:26,35.20688,128.98975,77,13395,0:14:03
2018-09-06 06:27:29,35.20726,128.98918,76,13395,0:14:00
2018-09-06 06:27:32,35.20762,128.98865,74,13395,0:13:57
2018-09-06 06:27:35,35.20798,128.9881,74,13395,0:13:54
2018-09-06 06:27:38,35.20835,128.98755,74,13395,0:13:51
2018-09-06 06:27:41,35.20871,128.98701,72,13395,0:13:48
2018-09-06 06:27:44,35.20905,128.98648,74,13395,0:13:45
2018-09-06 06:27:47,35.20942,128.98592,76,13395,0:13:42
2018-09-06 06:27:50,35.2098,128.98535,75,13395,0:13:39
2018-09-06 06:27:53,35.21015,128.98482,71,13395,0:13:36
2018-09-06 06:27:56,35.21044,128.98428,67,13395,0:13:33
2018-09-06 06:27:59,35.21066,128.98372,64,13395,0:13:30
2018-09-06 06:28:02,35.21081,128.98315,63,13395,0:13:27
2018-09-06 06:28:05,35.2109,128.98257,62,13395,0:13:24
2018-09-06 06:28:08,35.21098,128.98196,67,13395,0:13:21
2018-09-06 06:28:11,35.21106,128.98134,66,13395,0:13:18
2018-09-06 06:28:14,35.21112,128.98074,61,13395,0:13:15
2018-09-06 06:28:17,35.21119,128.98021,55,13395,0:13:12
2018-09-06 06:28:20,35.21124,128.97972,49,13395,0:13:09
2018-09-06 06:28:23,35.21128,128.97926,48,13395,0:13:06
2018-09-06 06:28:26,35.21133,128.97882,47,13395,0:13:03
2018-09-06 06:28:29,35.21138,128.97838,46,13395,0:13:00
2018-09-06 06:28:32,35.21142,128.97795,45,13395,0:12:57
2018-09-06 06:28:35,35.21146,128.97752,44,13395,0:12:54
2018-09-06 06:28:38,35.21151,128.97711,42,13395,0:12:51
2018-09-06 06:28:41,35.21155,128.97673,40,13395,0:12:48
2018-09-06 06:28:44,35.21159,128.97636,37,13395,0:12:45
2018-09-06 06:28:47,35.21162,128.97601,37,13395,0:12:42
2018-09-06 06:28:50,35.21166,128.97568,33,13395,0:12:39
2018-09-06 06:28:53,35.21169,128.97539,28,13395,0:12:36
2018-09-06 06:28:56,35.21171,128.97517,20,13395,0:12:33
2018-09-06 06:28:59,35.21172,128.97502,11,13395,0:12:30
2018-09-06 06:29:02,35.21173,128.97498,0,13395,0:12:27
2018-09-06 06:29:05,35.21173,128.97498,0,13395,0:12:24
2018-09-06 06:29:08,35.21172,128.97498,0,13395,0:12:21
2018-09-06 06:29:11,35.21172,128.97496,0,13395,0:12:18
2018-09-06 06:29:14,35.21172,128.97496,0,13395,0:12:15
2018-09-06 06:29:17,35.21172,128.97496,0,13395,0:12:12
