get_date,lat,lng,speed,line_no,y
2018-09-05 06:25:27,35.21178,129.01187,35,13395,0:19:36
2018-09-05 06:25:30,35.2117,129.01157,33,13395,0:19:33
2018-09-05 06:25:33,35.21162,129.01125,36,13395,0:19:30
2018-09-05 06:25:36,35.21155,129.01091,38,13395,0:19:27
2018-09-05 06:25:39,35.21147,129.01053,43,13395,0:19:24
2018-09-05 06:25:42,35.21137,129.01015,42,13395,0:19:21
2018-09-05 06:25:45,35.21127,129.00977,42,13395,0:19:18
2018-09-05 06:25:48,35.21116,129.00941,38,13395,0:19:15
2018-09-05 06:25:51,35.21109,129.00912,30,13395,0:19:12
2018-09-05 06:25:54,35.21103,129.00885,29,13395,0:19:09
2018-09-05 06:25:57,35.21098,129.00864,18,13395,0:19:06
2018-09-05 06:26:00,35.21096,129.00853,8,13395,0:19:03
2018-09-05 06:26:03,35.21093,129.00841,16,13395,0:19:00
2018-09-05 06:26:06,35.21089,129.00822,21,13395,0:18:57
2018-09-05 06:26:09,35.21083,129.00804,19,13395,0:18:54
2018-09-05 06:26:12,35.2108,129.00792,8,13395,0:18:51
2018-09-05 06:26:15,35.21077,129.00783,12,13395,0:18:48
2018-09-05 06:26:18,35.21072,129.00763,23,13395,0:18:45
2018-09-05 06:26:21,35.21066,129.00739,30,13395,0:18:42
2018-09-05 06:26:24,35.21058,129.00703,40,13395,0:18:39
2018-09-05 06:26:27,35.21049,129.00668,37,13395,0:18:36
2018-09-05 06:26:30,35.21042,129.00638,30,13395,0:18:33
2018-09-05 06:26:33,35.21033,129.00606,37,13395,0:18:30
2018-09-05 06:26:36,35.21025,129.00572,36,13395,0:18:27
2018-09-05 06:26:39,35.21018,129.0054,35,13395,0:18:24
2018-09-05 06:26:42,35.21011,129.00508,33,13395,0:18:21
2018-09-05 06:26:45,35.21004,129.00482,23,13395,0:18:18
2018-09-05 06:26:48,35.20996,129.00455,29,13395,0:18:15
2018-09-05 06:26:51,35.20988,129.0042,39,13395,0:18:12
2018-09-05 06:26:54,35.20981,129.00388,33,13395,0:18:09
2018-09-05 06:26:57,35.20975,129.00359,31,13395,0:18:06
2018-09-05 06:27:00,35.20969,129.00328,32,13395,0:18:03
2018-09-05 06:27:03,35.20965,129.00299,29,13395,0:18:00
2018-09-05 06:27:06,35.20964,129.00279,18,13395,0:17:57
2018-09-05 06:27:09,35.20964,129.00269,7,13395,0:17:54
2018-09-05 06:27:12,35.20964,129.00264,3,13395,0:17:51
2018-09-05 06:27:15,35.20964,129.00261,2,13395,0:17:48
2018-09-05 06:27:18,35.20965,129.00259,0,13395,0:17:45
2018-09-05 06:27:21,35.20965,129.00258,0,13395,0:17:42
2018-09-05 06:27:24,35.20965,129.00258,0,13395,0:17:39
2018-09-05 06:27:27,35.20965,129.00256,0,13395,0:17:36
2018-09-05 06:27:30,35.20965,129.00256,0,13395,0:17:33
2018-09-05 06:27:33,35.20965,129.00255,0,13395,0:17:30
2018-09-05 06:27:36,35.20965,129.00255,0,13395,0:17:27
2018-09-05 06:27:39,35.20965,129.00255,0,13395,0:17:24
2018-09-05 06:27:42,35.20965,129.00255,0,13395,0:17:21
2018-09-05 06:27:45,35.20965,129.00253,0,13395,0:17:18
2018-09-05 06:27:48,35.20965,129.00253,1,13395,0:17:15
2018-09-05 06:27:51,35.20965,129.00249,6,13395,0:17:12
2018-09-05 06:27:54,35.20964,129.00237,16,13395,0:17:09
2018-09-05 06:27:57,35.20961,129.00214,27,13395,0:17:06
2018-09-05 06:28:00,35.20962,129.00183,34,13395,0:17:03
2018-09-05 06:28:03,35.20959,129.0014,43,13395,0:17:00
2018-09-05 06:28:06,35.20956,129.00099,46,13395,0:16:57
2018-09-05 06:28:09,35.20952,129.00056,42,13395,0:16:54
2018-09-05 06:28:12,35.20947,129.00024,33,13395,0:16:51
2018-09-05 06:28:15,35.20939,128.99992,36,13395,0:16:48
2018-09-05 06:28:18,35.20926,128.99959,41,13395,0:16:45
2018-09-05 06:28:21,35.20909,128.99928,36,13395,0:16:42
2018-09-05 06:28:24,35.20887,128.99901,43,13395,0:16:39
2018-09-05 06:28:27,35.20859,128.99872,49,13395,0:16:36
2018-09-05 06:28:30,35.20826,128.9984,56,13395,0:16:33
2018-09-05 06:28:33,35.20791,128.99805,59,13395,0:16:30
2018-09-05 06:28:36,35.20757,128.9977,58,13395,0:16:27
2018-09-05 06:28:39,35.20723,128.99738,53,13395,0:16:24
2018-09-05 06:28:42,35.20692,128.99707,50,13395,0:16:21
2018-09-05 06:28:45,35.20663,128.99677,49,13395,0:16:18
2018-09-05 06:28:48,35.20638,128.99648,43,13395,0:16:15
2018-09-05 06:28:51,35.20612,128.99622,45,13395,0:16:12
2018-09-05 06:28:54,35.20586,128.99583,54,13395,0:16:09
2018-09-05 06:28:57,35.20553,128.99547,57,13395,0:16:06
2018-09-05 06:29:00,35.2052,128.9951,56,13395,0:16:03
2018-09-05 06:29:03,35.20488,128.99474,54,13395,0:16:00
2018-09-05 06:29:06,35.20459,128.9944,47,13395,0:15:57
2018-09-05 06:29:09,35.2044,128.99406,40,13395,0:15:54
2018-09-05 06:29:12,35.20437,128.9937,39,13395,0:15:51
2018-09-05 06:29:15,35.20449,128.99335,44,13395,0:15:48
2018-09-05 06:29:18,35.2047,128.99298,50,13395,0:15:45
2018-09-05 06:29:21,35.20497,128.99257,57,13395,0:15:42
2018-09-05 06:29:24,35.20527,128.99213,63,13395,0:15:39
2018-09-05 06:29:27,35.20558,128.99164,66,13395,0:15:36
2018-09-05 06:29:30,35.20591,128.99115,68,13395,0:15:33
2018-09-05 06:29:33,35.20625,128.99063,71,13395,0:15:30
2018-09-05 06:29:36,35.2066,128.9901,73,13395,0:15:27
2018-09-05 06:29:39,35.20697,128.98955,75,13395,0:15:24
2018-09-05 06:29:42,35.20733,128.989,74,13395,0:15:21
2018-09-05 06:29:45,35.2077,128.98846,74,13395,0:15:18
2018-09-05 06:29:48,35.20806,128.98792,74,13395,0:15:15
2018-09-05 06:29:51,35.20842,128.98738,73,13395,0:15:12
2018-09-05 06:29:54,35.20879,128.98683,73,13395,0:15:09
2018-09-05 06:29:57,35.20918,128.9863,77,13395,0:15:06
2018-09-05 06:30:00,35.20956,128.98573,78,13395,0:15:03
2018-09-05 06:30:03,35.20994,128.98517,77,13395,0:15:00
2018-09-05 06:30:06,35.2103,128.9846,74,13395,0:14:57
2018-09-05 06:30:09,35.21058,128.98399,73,13395,0:14:54
2018-09-05 06:30:12,35.21078,128.98334,72,13395,0:14:51
2018-09-05 06:30:15,35.2109,128.98274,60,13395,0:14:48
2018-09-05 06:30:18,35.21097,128.98216,65,13395,0:14:45
2018-09-05 06:30:21,35.21104,128.98152,68,13395,0:14:42
2018-09-05 06:30:24,35.21111,128.98093,62,13395,0:14:39
2018-09-05 06:30:27,35.21117,128.98039,52,13395,0:14:36
2018-09-05 06:30:30,35.21122,128.97993,48,13395,0:14:33
2018-09-05 06:30:33,35.21127,128.97949,47,13395,0:14:30
2018-09-05 06:30:36,35.21132,128.97902,50,13395,0:14:27
2018-09-05 06:30:39,35.21136,128.97855,50,13395,0:14:24
2018-09-05 06:30:42,35.21141,128.97809,45,13395,0:14:21
2018-09-05 06:30:45,35.21144,128.97769,39,13395,0:14:18
2018-09-05 06:30:48,35.21148,128.97736,34,13395,0:14:15
2018-09-05 06:30:51,35.21151,128.97705,33,13395,0:14:12
2018-09-05 06:30:54,35.21153,128.97681,21,13395,0:14:09
2018-09-05 06:30:57,35.21155,128.97662,18,13395,0:14:06
2018-09-05 06:31:00,35.21157,128.97644,16,13395,0:14:03
2018-09-05 06:31:03,35.21158,128.97632,13,13395,0:14:00
2018-09-05 06:31:06,35.21159,128.9762,12,13395,0:13:57
2018-09-05 06:31:09,35.21161,128.97607,12,13395,0:13:54
2018-09-05 06:31:12,35.21162,128.97597,9,13395,0:13:51
2018-09-05 06:31:15,35.21162,128.97591,6,13395,0:13:48
2018-09-05 06:31:18,35.21163,128.97585,4,13395,0:13:45
2018-09-05 06:31:21,35.21164,128.97581,3,13395,0:13:42
2018-09-05 06:31:24,35.21164,128.97578,3,13395,0:13:39
2018-09-05 06:31:27,35.21165,128.97575,0,13395,0:13:36
