get_date,lat,lng,speed,line_no,y
2018-09-03 06:22:02,35.21175,129.01181,47,13395,0:20:09
2018-09-03 06:22:05,35.21165,129.01135,52,13395,0:20:06
2018-09-03 06:22:08,35.21154,129.01091,47,13395,0:20:03
2018-09-03 06:22:11,35.21143,129.01045,50,13395,0:20:00
2018-09-03 06:22:14,35.21132,129.00999,51,13395,0:19:57
2018-09-03 06:22:17,35.21119,129.00954,50,13395,0:19:54
2018-09-03 06:22:20,35.21108,129.00911,44,13395,0:19:51
2018-09-03 06:22:23,35.21099,129.00876,33,13395,0:19:48
2018-09-03 06:22:26,35.21092,129.00848,32,13395,0:19:45
2018-09-03 06:22:29,35.21082,129.00819,34,13395,0:19:42
2018-09-03 06:22:32,35.21075,129.00789,35,13395,0:19:39
2018-09-03 06:22:35,35.21068,129.00752,41,13395,0:19:36
2018-09-03 06:22:38,35.21056,129.00714,45,13395,0:19:33
2018-09-03 06:22:41,35.21048,129.00674,42,13395,0:19:30
2018-09-03 06:22:44,35.2104,129.00635,44,13395,0:19:27
2018-09-03 06:22:47,35.21031,129.00594,45,13395,0:19:24
2018-09-03 06:22:50,35.21021,129.00551,45,13395,0:19:21
2018-09-03 06:22:53,35.21013,129.00516,33,13395,0:19:18
2018-09-03 06:22:56,35.21005,129.00487,31,13395,0:19:15
2018-09-03 06:22:59,35.20998,129.00459,30,13395,0:19:12
2018-09-03 06:23:02,35.2099,129.00433,30,13395,0:19:09
2018-09-03 06:23:05,35.20982,129.00406,31,13395,0:19:06
2018-09-03 06:23:08,35.20977,129.00383,21,13395,0:19:03
2018-09-03 06:23:11,35.20975,129.00365,16,13395,0:19:00
2018-09-03 06:23:14,35.20975,129.00351,11,13395,0:18:57
2018-09-03 06:23:17,35.20976,129.00345,5,13395,0:18:54
2018-09-03 06:23:20,35.20976,129.00343,0,13395,0:18:51
2018-09-03 06:23:23,35.20976,129.00343,0,13395,0:18:48
2018-09-03 06:23:26,35.20976,129.00343,0,13395,0:18:45
2018-09-03 06:23:29,35.20976,129.00343,0,13395,0:18:42
2018-09-03 06:23:32,35.20976,129.00343,0,13395,0:18:39
2018-09-03 06:23:35,35.20976,129.00343,0,13395,0:18:36
2018-09-03 06:23:38,35.20976,129.00343,0,13395,0:18:33
2018-09-03 06:23:41,35.20976,129.00343,0,13395,0:18:30
2018-09-03 06:23:44,35.20976,129.00343,0,13395,0:18:27
2018-09-03 06:23:47,35.20976,129.00343,0,13395,0:18:24
2018-09-03 06:23:50,35.20977,129.00343,0,13395,0:18:21
2018-09-03 06:23:53,35.20977,129.00342,2,13395,0:18:18
2018-09-03 06:23:56,35.20975,129.00336,10,13395,0:18:15
2018-09-03 06:23:59,35.20972,129.00322,16,13395,0:18:12
2018-09-03 06:24:02,35.20971,129.0031,14,13395,0:18:09
2018-09-03 06:24:05,35.20969,129.0029,25,13395,0:18:06
2018-09-03 06:24:08,35.20967,129.00262,30,13395,0:18:03
2018-09-03 06:24:11,35.20964,129.00229,38,13395,0:18:00
2018-09-03 06:24:14,35.20959,129.00189,44,13395,0:17:57
2018-09-03 06:24:17,35.20958,129.00143,48,13395,0:17:54
2018-09-03 06:24:20,35.20954,129.00095,52,13395,0:17:51
2018-09-03 06:24:23,35.20951,129.00049,47,13395,0:17:48
2018-09-03 06:24:26,35.20941,129.00006,47,13395,0:17:45
2018-09-03 06:24:29,35.20926,128.99962,51,13395,0:17:42
2018-09-03 06:24:32,35.20904,128.99919,53,13395,0:17:39
2018-09-03 06:24:35,35.20874,128.99884,53,13395,0:17:36
2018-09-03 06:24:38,35.20842,128.99854,51,13395,0:17:33
2018-09-03 06:24:41,35.20811,128.99821,51,13395,0:17:30
2018-09-03 06:24:44,35.20779,128.99789,55,13395,0:17:27
2018-09-03 06:24:47,35.20746,128.99756,54,13395,0:17:24
2018-09-03 06:24:50,35.20713,128.99724,51,13395,0:17:21
2018-09-03 06:24:53,35.20684,128.99695,49,13395,0:17:18
2018-09-03 06:24:56,35.20655,128.99666,46,13395,0:17:15
2018-09-03 06:24:59,35.2063,128.9964,40,13395,0:17:12
2018-09-03 06:25:02,35.20607,128.99614,42,13395,0:17:09
2018-09-03 06:25:05,35.20584,128.9958,47,13395,0:17:06
2018-09-03 06:25:08,35.20558,128.9955,46,13395,0:17:03
2018-09-03 06:25:11,35.20531,128.99521,46,13395,0:17:00
2018-09-03 06:25:14,35.20506,128.99492,43,13395,0:16:57
2018-09-03 06:25:17,35.2048,128.99464,44,13395,0:16:54
2018-09-03 06:25:20,35.20454,128.99435,43,13395,0:16:51
2018-09-03 06:25:23,35.20436,128.99402,40,13395,0:16:48
2018-09-03 06:25:26,35.20438,128.99364,42,13395,0:16:45
2018-09-03 06:25:29,35.20454,128.99327,47,13395,0:16:42
2018-09-03 06:25:32,35.20478,128.99287,54,13395,0:16:39
2018-09-03 06:25:35,35.20506,128.99246,58,13395,0:16:36
2018-09-03 06:25:38,35.20536,128.99202,64,13395,0:16:33
2018-09-03 06:25:41,35.20569,128.99153,67,13395,0:16:30
2018-09-03 06:25:44,35.20602,128.99103,69,13395,0:16:27
2018-09-03 06:25:47,35.20637,128.99051,70,13395,0:16:24
2018-09-03 06:25:50,35.20671,128.98999,70,13395,0:16:21
2018-09-03 06:25:53,35.20706,128.98947,71,13395,0:16:18
2018-09-03 06:25:56,35.20741,128.98895,70,13395,0:16:15
2018-09-03 06:25:59,35.20775,128.98843,70,13395,0:16:12
2018-09-03 06:26:02,35.2081,128.98792,70,13395,0:16:09
2018-09-03 06:26:05,35.20844,128.9874,71,13395,0:16:06
2018-09-03 06:26:08,35.20878,128.98689,67,13395,0:16:03
2018-09-03 06:26:11,35.20911,128.9864,67,13395,0:16:00
2018-09-03 06:26:14,35.20944,128.98592,66,13395,0:15:57
2018-09-03 06:26:17,35.20975,128.98546,62,13395,0:15:54
2018-09-03 06:26:20,35.21006,128.985,61,13395,0:15:51
2018-09-03 06:26:23,35.21034,128.98454,61,13395,0:15:48
2018-09-03 06:26:26,35.21058,128.98402,63,13395,0:15:45
2018-09-03 06:26:29,35.21076,128.98349,61,13395,0:15:42
2018-09-03 06:26:32,35.21088,128.98294,57,13395,0:15:39
2018-09-03 06:26:35,35.21095,128.98241,59,13395,0:15:36
2018-09-03 06:26:38,35.21102,128.98181,63,13395,0:15:33
2018-09-03 06:26:41,35.21109,128.98122,64,13395,0:15:30
2018-09-03 06:26:44,35.21115,128.98061,63,13395,0:15:27
2018-09-03 06:26:47,35.2112,128.98003,60,13395,0:15:24
2018-09-03 06:26:50,35.21126,128.97949,56,13395,0:15:21
2018-09-03 06:26:53,35.21132,128.97899,49,13395,0:15:18
2018-09-03 06:26:56,35.21135,128.97855,46,13395,0:15:15
2018-09-03 06:26:59,35.21139,128.97812,43,13395,0:15:12
2018-09-03 06:27:02,35.21143,128.97771,43,13395,0:15:09
2018-09-03 06:27:05,35.21147,128.97733,39,13395,0:15:06
2018-09-03 06:27:08,35.21149,128.97707,21,13395,0:15:03
2018-09-03 06:27:11,35.21151,128.97691,13,13395,0:15:00
2018-09-03 06:27:14,35.21152,128.97681,10,13395,0:14:57
2018-09-03 06:27:17,35.21153,128.9767,10,13395,0:14:54
2018-09-03 06:27:20,35.21154,128.97658,17,13395,0:14:51
2018-09-03 06:27:23,35.21157,128.97636,24,13395,0:14:48
2018-09-03 06:27:26,35.2116,128.97612,25,13395,0:14:45
2018-09-03 06:27:29,35.21162,128.97586,27,13395,0:14:42
2018-09-03 06:27:32,35.21164,128.9756,29,13395,0:14:39
2018-09-03 06:27:35,35.21166,128.97533,27,13395,0:14:36
2018-09-03 06:27:38,35.21169,128.97508,24,13395,0:14:33
2018-09-03 06:27:41,35.2117,128.97488,17,13395,0:14:30
2018-09-03 06:27:44,35.21171,128.97475,12,13395,0:14:27
2018-09-03 06:27:47,35.21171,128.97467,3,13395,0:14:24
2018-09-03 06:27:50,35.21171,128.97467,0,13395,0:14:21
2018-09-03 06:27:53,35.21171,128.97467,0,13395,0:14:18
2018-09-03 06:27:56,35.21172,128.97467,0,13395,0:14:15
2018-09-03 06:27:59,35.21172,128.97467,0,13395,0:14:12
2018-09-03 06:28:02,35.21172,128.97467,0,13395,0:14:09
2018-09-03 06:28:05,35.21172,128.97467,0,13395,0:14:06
2018-09-03 06:28:08,35.21172,128.97467,0,13395,0:14:03
2018-09-03 06:28:11,35.21172,128.97467,0,13395,0:14:00
2018-09-03 06:28:14,35.21172,128.97467,0,13395,0:13:57
2018-09-03 06:28:17,35.21172,128.97467,0,13395,0:13:54
2018-09-03 06:28:20,35.21173,128.97467,0,13395,0:13:51
